T,V1
0.0,0.0679734530858696
0.002,0.0959521783515811
0.004,0.11833515856415
0.006,0.151909628883004
0.008,0.179888354148716
0.01,0.224654314573854
0.012,0.252633039839566
0.014,0.280611765105277
0.016,0.291803255211562
0.018,0.291803255211562
0.02,0.275016020052135
0.022,0.230250059626997
0.024,0.179888354148716
0.026,0.101547923404723
0.028,0.0232074926607311
0.03,-0.0551329380832613
0.032,-0.127877623774111
0.034,-0.183835074305534
0.036,-0.228601034730673
0.038,-0.250984014943242
0.04,-0.262175505049527
0.042,-0.256579759996384
0.044,-0.2453882698901
0.046,-0.217409544624388
0.048,-0.195026564411819
0.05,-0.161452094092965
0.052,-0.139069113880396
0.054,-0.116686133667827
0.056,-0.0998988985083997
0.058,-0.0831116633489728
0.06,-0.0663244281895459
0.062,-0.0551329380832613
0.064,-0.0439414479769766
0.066,-0.0439414479769766
0.068,-0.0383457029238343
0.07,-0.0439414479769766
0.072,-0.0439414479769766
0.074,-0.0495371930301189
0.076,-0.0607286831364036
0.078,-0.0775159182958305
0.08,-0.0998988985083997
0.082,-0.116686133667827
0.084,-0.150260603986681
0.086,-0.178239329252392
0.088,-0.217409544624388
0.09,-0.256579759996384
0.092,-0.301345720421523
0.094,-0.323728700634092
0.096,-0.340515935793519
0.098,-0.334920190740377
0.1,-0.312537210527807
0.102,-0.262175505049527
0.104,-0.183835074305534
0.106,-0.0998988985083997
0.108,-0.00477123260498047
0.11,0.0903564332984388
0.112,0.168696864042431
0.114,0.230250059626997
0.116,0.275016020052135
0.118,0.297399000264704
0.12,0.297399000264704
0.122,0.28620751015842
0.124,0.258228784892708
0.126,0.230250059626997
0.128,0.196675589308143
0.13,0.163101118989289
0.132,0.135122393723577
0.134,0.107143668457866
0.136,0.0903564332984388
0.138,0.0679734530858696
0.14,0.0511862179264426
0.142,0.0455904728733003
0.144,0.0343989827670157
0.146,0.0288032377138734
0.148,0.0288032377138734
0.15,0.0232074926607311
0.152,0.0288032377138734
0.154,0.0455904728733003
0.156,0.0511862179264426
0.158,0.0679734530858696
0.16,0.0903564332984388
0.162,0.11833515856415
0.164,0.151909628883004
0.166,0.191079844255
0.168,0.235845804680139
0.17,0.275016020052135
0.172,0.314186235424131
0.174,0.342164960689843
0.176,0.35895219584927
0.178,0.347760705742985
0.18,0.308590490370989
0.182,0.241441549733281
0.184,0.157505373936146
0.186,0.0567819629795849
0.188,-0.0439414479769766
0.19,-0.139069113880396
0.192,-0.223005289677531
0.194,-0.278962740208954
0.196,-0.323728700634092
0.198,-0.329324445687234
0.2,-0.323728700634092
0.202,-0.312537210527807
0.204,-0.273366995155811
0.206,-0.2453882698901
0.208,-0.206218054518104
0.21,-0.178239329252392
0.212,-0.139069113880396
0.214,-0.116686133667827
0.216,-0.0943031534552574
0.218,-0.0775159182958305
0.22,-0.0551329380832613
0.222,-0.0495371930301189
0.224,-0.0439414479769766
0.226,-0.032749957870692
0.228,-0.0383457029238343
0.23,-0.0383457029238343
0.232,-0.0495371930301189
0.234,-0.0439414479769766
0.236,-0.0663244281895459
0.238,-0.0775159182958305
0.24,-0.0943031534552574
0.242,-0.122281878720969
0.244,-0.150260603986681
0.246,-0.183835074305534
0.248,-0.217409544624388
0.25,-0.262175505049527
0.252,-0.284558485262096
0.254,-0.306941465474665
0.256,-0.312537210527807
0.258,-0.295749975368381
0.26,-0.267771250102669
0.262,-0.211813799571246
0.264,-0.139069113880396
0.266,-0.0607286831364036
0.268,0.0232074926607311
0.27,0.101547923404723
0.272,0.168696864042431
0.274,0.224654314573854
0.276,0.258228784892708
0.278,0.275016020052135
0.28,0.269420274998993
0.282,0.258228784892708
0.284,0.235845804680139
0.286,0.207867079414427
0.288,0.185484099201858
0.29,0.151909628883004
0.292,0.129526648670435
0.294,0.101547923404723
0.296,0.0847606882452965
0.298,0.0679734530858696
0.3,0.0511862179264426
0.302,0.0455904728733003
0.304,0.0343989827670157
0.306,0.0343989827670157
0.308,0.0343989827670157
0.31,0.0288032377138734
0.312,0.0455904728733003
0.314,0.0455904728733003
0.316,0.0567819629795849
0.318,0.0679734530858696
0.32,0.0903564332984388
0.322,0.107143668457866
0.324,0.135122393723577
0.326,0.163101118989289
0.328,0.196675589308143
0.33,0.224654314573854
0.332,0.252633039839566
0.334,0.275016020052135
0.336,0.275016020052135
0.338,0.269420274998993
0.34,0.247037294786423
0.342,0.202271334361285
0.344,0.135122393723577
0.346,0.0623777080327272
0.348,-0.0159627227112651
0.35,-0.0887074084021151
0.352,-0.161452094092965
0.354,-0.217409544624388
0.356,-0.250984014943242
0.358,-0.278962740208954
0.36,-0.278962740208954
0.362,-0.267771250102669
