T,V1
0.0,0.196675589308143
0.002,0.230250059626997
0.004,0.241441549733281
0.006,0.247037294786423
0.008,0.224654314573854
0.01,0.196675589308143
0.012,0.168696864042431
0.014,0.14071813877672
0.016,0.112739413511008
0.018,0.0847606882452965
0.02,0.0735691981390119
0.022,0.0567819629795849
0.024,0.0455904728733003
0.026,0.0455904728733003
0.028,0.0455904728733003
0.03,0.0511862179264426
0.032,0.0623777080327272
0.034,0.0847606882452965
0.036,0.101547923404723
0.038,0.129526648670435
0.04,0.163101118989289
0.042,0.202271334361285
0.044,0.235845804680139
0.046,0.269420274998993
0.048,0.28620751015842
0.05,0.275016020052135
0.052,0.247037294786423
0.054,0.191079844255
0.056,0.107143668457866
0.058,0.0120160025544465
0.06,-0.0831116633489728
0.062,-0.155856349039823
0.064,-0.223005289677531
0.066,-0.262175505049527
0.068,-0.273366995155811
0.07,-0.267771250102669
0.072,-0.250984014943242
0.074,-0.217409544624388
0.076,-0.183835074305534
0.078,-0.155856349039823
0.08,-0.127877623774111
0.082,-0.0998988985083997
0.084,-0.0831116633489728
0.086,-0.0663244281895459
0.088,-0.0551329380832613
0.09,-0.0495371930301189
0.092,-0.0551329380832613
0.094,-0.0551329380832613
0.096,-0.0663244281895459
0.098,-0.0831116633489728
0.1,-0.105494643561542
0.102,-0.122281878720969
0.104,-0.155856349039823
0.106,-0.189430819358677
0.108,-0.217409544624388
0.11,-0.239792524836957
0.112,-0.256579759996384
0.114,-0.2453882698901
0.116,-0.217409544624388
0.118,-0.178239329252392
0.12,-0.111090388614684
0.122,-0.032749957870692
0.124,0.0455904728733003
0.126,0.112739413511008
0.128,0.168696864042431
0.13,0.207867079414427
0.132,0.224654314573854
0.134,0.224654314573854
0.136,0.207867079414427
0.138,0.191079844255
0.14,0.163101118989289
0.142,0.135122393723577
0.144,0.112739413511008
0.146,0.0903564332984388
0.148,0.0735691981390119
0.15,0.0567819629795849
0.152,0.0511862179264426
0.154,0.0455904728733003
0.156,0.0455904728733003
0.158,0.0511862179264426
0.16,0.0623777080327272
0.162,0.0679734530858696
0.164,0.0847606882452965
0.166,0.112739413511008
0.168,0.135122393723577
0.17,0.157505373936146
