T,V1
0.0,-0.0414246171712875
0.001,-0.0414246171712875
0.002,-0.0358998794108629
0.003,-0.0358998794108629
0.004,-0.0303751416504383
0.005,-0.0358998794108629
0.006,-0.0303751416504383
0.007,-0.0303751416504383
0.008,-0.0358998794108629
0.009,-0.0358998794108629
0.01,-0.0358998794108629
0.011,-0.0414246171712875
0.012,-0.0414246171712875
0.013,-0.0414246171712875
0.014,-0.0524740926921368
0.015,-0.0524740926921368
0.016,-0.0579988304525614
0.017,-0.063523568212986
0.018,-0.063523568212986
0.019,-0.0745730437338352
0.02,-0.0800977814942598
0.021,-0.0966719947755337
0.022,-0.0966719947755337
0.023,-0.107721470296383
0.024,-0.118770945817232
0.025,-0.124295683577657
0.026,-0.135345159098506
0.027,-0.146394634619355
0.028,-0.157444110140204
0.029,-0.168493585661054
0.03,-0.179543061181903
0.031,-0.179543061181903
0.032,-0.190592536702752
0.033,-0.196117274463177
0.034,-0.196117274463177
0.035,-0.201642012223601
0.036,-0.196117274463177
0.037,-0.190592536702752
0.038,-0.185067798942327
0.039,-0.174018323421478
0.04,-0.162968847900629
0.041,-0.146394634619355
0.042,-0.129820421338081
0.043,-0.107721470296383
0.044,-0.0800977814942598
0.045,-0.063523568212986
0.046,-0.0303751416504383
0.047,-0.00275145284831524
0.048,0.0248722359538078
0.049,0.0524959247559309
0.05,0.0745948757976294
0.051,0.102218564599752
0.052,0.124317515641451
0.053,0.140891728922725
0.054,0.162990679964423
0.055,0.179564893245697
0.056,0.190614368766546
0.057,0.196139106526971
0.058,0.20718858204782
0.059,0.20718858204782
0.06,0.201663844287395
0.061,0.201663844287395
0.062,0.201663844287395
0.063,0.190614368766546
0.064,0.185089631006122
0.065,0.174040155485272
0.066,0.162990679964423
0.067,0.157465942203999
0.068,0.146416466683149
0.069,0.1353669911623
0.07,0.124317515641451
0.071,0.118792777881026
0.072,0.102218564599752
0.073,0.0966938268393278
0.074,0.0856443513184786
0.075,0.080119613558054
0.076,0.0690701380372047
0.077,0.0635454002767801
0.078,0.0580206625163555
0.079,0.0524959247559309
0.08,0.0469711869955063
0.081,0.0414464492350817
0.082,0.0359217114746571
0.083,0.0359217114746571
0.084,0.0359217114746571
0.085,0.0359217114746571
0.086,0.0359217114746571
0.087,0.0303969737142324
0.088,0.0303969737142324
0.089,0.0303969737142324
0.09,0.0303969737142324
0.091,0.0359217114746571
0.092,0.0359217114746571
0.093,0.0359217114746571
0.094,0.0359217114746571
0.095,0.0469711869955063
0.096,0.0524959247559309
0.097,0.0524959247559309
0.098,0.0580206625163555
0.099,0.0635454002767801
0.1,0.0745948757976294
0.101,0.0745948757976294
0.102,0.0856443513184786
0.103,0.0911690890789032
0.104,0.102218564599752
0.105,0.107743302360177
0.106,0.118792777881026
0.107,0.124317515641451
0.108,0.1353669911623
0.109,0.146416466683149
0.11,0.151941204443574
0.111,0.162990679964423
0.112,0.174040155485272
0.113,0.174040155485272
0.114,0.185089631006122
0.115,0.185089631006122
0.116,0.185089631006122
0.117,0.185089631006122
0.118,0.179564893245697
0.119,0.179564893245697
0.12,0.168515417724848
0.121,0.157465942203999
0.122,0.146416466683149
0.123,0.124317515641451
0.124,0.107743302360177
0.125,0.0856443513184786
0.126,0.0580206625163555
0.127,0.0359217114746571
0.128,0.0138227604329586
0.129,-0.0138009283691645
0.13,-0.0414246171712875
0.131,-0.0690483059734106
0.132,-0.0911472570151091
0.133,-0.107721470296383
0.134,-0.135345159098506
0.135,-0.157444110140204
0.136,-0.168493585661054
0.137,-0.185067798942327
0.138,-0.190592536702752
0.139,-0.196117274463177
0.14,-0.207166749984026
0.141,-0.201642012223601
0.142,-0.201642012223601
0.143,-0.196117274463177
0.144,-0.190592536702752
0.145,-0.185067798942327
0.146,-0.174018323421478
0.147,-0.162968847900629
0.148,-0.157444110140204
0.149,-0.146394634619355
0.15,-0.135345159098506
0.151,-0.124295683577657
0.152,-0.113246208056808
0.153,-0.102196732535958
0.154,-0.0911472570151091
0.155,-0.0800977814942598
0.156,-0.0745730437338352
0.157,-0.063523568212986
0.158,-0.0579988304525614
0.159,-0.0469493549317122
0.16,-0.0414246171712875
0.161,-0.0358998794108629
0.162,-0.0358998794108629
0.163,-0.0248504038900137
0.164,-0.0248504038900137
0.165,-0.0193256661295891
0.166,-0.0193256661295891
0.167,-0.0138009283691645
0.168,-0.0138009283691645
0.169,-0.00827619060873985
0.17,-0.00827619060873985
0.171,-0.00827619060873985
0.172,-0.00275145284831524
0.173,-0.00275145284831524
0.174,-0.00275145284831524
0.175,-0.00275145284831524
0.176,-0.00275145284831524
0.177,-0.00275145284831524
0.178,0.00277328491210938
0.179,0.00277328491210938
0.18,-0.00275145284831524
0.181,-0.00275145284831524
0.182,0.00277328491210938
0.183,-0.00275145284831524
0.184,0.00277328491210938
0.185,-0.00275145284831524
0.186,0.00277328491210938
0.187,-0.00275145284831524
0.188,0.00277328491210938
0.189,0.00277328491210938
0.19,-0.00275145284831524
0.191,0.00277328491210938
0.192,0.00277328491210938
0.193,0.00277328491210938
0.194,0.00277328491210938
0.195,0.00277328491210938
0.196,0.00277328491210938
0.197,-0.00275145284831524
0.198,-0.00275145284831524
0.199,-0.00275145284831524
0.2,-0.00275145284831524
0.201,-0.00275145284831524
0.202,-0.00275145284831524
0.203,-0.00275145284831524
0.204,-0.00827619060873985
