T,V1
0.0,0.0414464492350817
0.001,0.0414464492350817
0.002,0.0469711869955063
0.003,0.0469711869955063
0.004,0.0524959247559309
0.005,0.0580206625163555
0.006,0.0635454002767801
0.007,0.0745948757976294
0.008,0.080119613558054
0.009,0.0911690890789032
0.01,0.102218564599752
0.011,0.113268040120602
0.012,0.124317515641451
0.013,0.1353669911623
0.014,0.146416466683149
0.015,0.157465942203999
0.016,0.174040155485272
0.017,0.185089631006122
0.018,0.196139106526971
0.019,0.212713319808245
0.02,0.223762795329094
0.021,0.234812270849943
0.022,0.251386484131217
0.023,0.251386484131217
0.024,0.262435959652066
0.025,0.267960697412491
0.026,0.262435959652066
0.027,0.256911221891642
0.028,0.251386484131217
0.029,0.240337008610368
0.03,0.223762795329094
0.031,0.201663844287395
0.032,0.179564893245697
0.033,0.151941204443574
0.034,0.118792777881026
0.035,0.0911690890789032
0.036,0.0580206625163555
0.037,0.0193474981933832
0.038,-0.0138009283691645
0.039,-0.0469493549317122
0.04,-0.0856225192546844
0.041,-0.118770945817232
0.042,-0.146394634619355
0.043,-0.179543061181903
0.044,-0.201642012223601
0.045,-0.2237409632653
0.046,-0.240315176546574
0.047,-0.251364652067423
0.048,-0.262414127588272
0.049,-0.267938865348697
0.05,-0.267938865348697
0.051,-0.262414127588272
0.052,-0.262414127588272
0.053,-0.251364652067423
0.054,-0.240315176546574
0.055,-0.229265701025724
0.056,-0.218216225504875
0.057,-0.207166749984026
0.058,-0.190592536702752
0.059,-0.174018323421478
0.06,-0.162968847900629
0.061,-0.146394634619355
0.062,-0.140869896858931
0.063,-0.124295683577657
0.064,-0.113246208056808
0.065,-0.102196732535958
0.066,-0.0911472570151091
0.067,-0.0800977814942598
0.068,-0.0745730437338352
0.069,-0.063523568212986
0.07,-0.063523568212986
0.071,-0.0524740926921368
0.072,-0.0524740926921368
0.073,-0.0469493549317122
0.074,-0.0414246171712875
0.075,-0.0414246171712875
0.076,-0.0358998794108629
0.077,-0.0358998794108629
0.078,-0.0358998794108629
0.079,-0.0358998794108629
0.08,-0.0303751416504383
0.081,-0.0358998794108629
0.082,-0.0358998794108629
0.083,-0.0414246171712875
0.084,-0.0414246171712875
0.085,-0.0414246171712875
0.086,-0.0524740926921368
0.087,-0.0524740926921368
0.088,-0.0579988304525614
0.089,-0.063523568212986
0.09,-0.0745730437338352
0.091,-0.0800977814942598
0.092,-0.0856225192546844
0.093,-0.0966719947755337
0.094,-0.102196732535958
0.095,-0.113246208056808
0.096,-0.124295683577657
0.097,-0.135345159098506
0.098,-0.15191937237978
0.099,-0.157444110140204
0.1,-0.174018323421478
0.101,-0.185067798942327
0.102,-0.196117274463177
0.103,-0.207166749984026
0.104,-0.218216225504875
0.105,-0.229265701025724
0.106,-0.229265701025724
0.107,-0.240315176546574
0.108,-0.240315176546574
0.109,-0.234790438786149
0.11,-0.234790438786149
0.111,-0.229265701025724
0.112,-0.212691487744451
0.113,-0.201642012223601
0.114,-0.185067798942327
0.115,-0.168493585661054
0.116,-0.140869896858931
0.117,-0.118770945817232
0.118,-0.0856225192546844
0.119,-0.0579988304525614
0.12,-0.0248504038900137
0.121,0.00277328491210938
0.122,0.0359217114746571
