T,V1
0.0,-0.186182729899883
0.002,-0.153123296797276
0.004,-0.120063863694668
0.006,-0.0980242416262627
0.008,-0.0759846195578575
0.01,-0.0539449974894524
0.012,-0.0429251864552498
0.014,-0.0208855643868446
0.016,-0.0153756588697433
0.018,-0.00435584783554077
0.02,0.0121738687157631
0.022,0.0121738687157631
0.024,0.028703585267067
0.026,0.0507432073354721
0.028,0.067272923886776
0.03,0.0948224514722824
0.032,0.122371979057789
0.034,0.160941317677498
0.036,0.210530467331409
0.038,0.260119616985321
0.04,0.315218672156334
0.042,0.370317727327347
0.044,0.414396971464157
0.046,0.441946499049664
0.048,0.447456404566765
0.05,0.419906876981258
0.052,0.375827632844448
0.054,0.309708766639233
0.056,0.249099805951118
0.058,0.177471034228802
0.06,0.12788188457489
0.062,0.0782927349209785
0.064,0.0452333018183708
0.066,0.0176837742328644
0.068,0.00115405768156052
0.07,-0.00986575335264206
0.072,-0.0208855643868446
0.074,-0.0208855643868446
0.076,-0.0208855643868446
0.078,-0.0208855643868446
0.08,-0.0208855643868446
0.082,-0.0153756588697433
0.084,-0.00986575335264206
0.086,-0.00435584783554077
0.088,0.00115405768156052
0.09,0.0176837742328644
0.092,0.0342134907841682
0.094,0.0562531128525734
0.096,0.0893125459551811
0.098,0.12788188457489
0.1,0.166451223194599
0.102,0.221550278365612
0.104,0.271139428019524
0.106,0.309708766639233
0.108,0.34276819974184
0.11,0.370317727327347
0.112,0.375827632844448
0.114,0.364807821810246
0.116,0.337258294224739
0.118,0.309708766639233
0.12,0.265629522502422
0.122,0.227060183882713
0.124,0.188490845263004
0.126,0.160941317677498
0.128,0.133391790091991
0.13,0.105842262506485
0.132,0.0948224514722824
0.134,0.0782927349209785
0.136,0.067272923886776
0.138,0.0562531128525734
0.14,0.0452333018183708
0.142,0.0342134907841682
0.144,0.0231936797499657
0.146,0.0176837742328644
0.148,0.00115405768156052
0.15,-0.0153756588697433
0.152,-0.0429251864552498
0.154,-0.0814945250749588
0.156,-0.120063863694668
0.158,-0.175162918865681
0.16,-0.235771879553795
0.162,-0.30189074575901
0.164,-0.373519517481327
0.166,-0.42861857265234
0.168,-0.467187911272049
0.17,-0.483717627823353
0.172,-0.47269781678915
0.174,-0.439638383686543
0.176,-0.401069045066833
0.178,-0.356989800930023
0.18,-0.318420462310314
0.182,-0.30189074575901
0.184,-0.30189074575901
0.186,-0.307400651276112
0.188,-0.329440273344517
0.19,-0.345969989895821
0.192,-0.356989800930023
