Temps;V1
0;0,067272923886776
0,002;0,0507432073354721
0,004;0,0397233963012695
0,006;0,028703585267067
0,008;0,0066639631986618
0,01;-0,00986575335264206
0,012;-0,0208855643868446
0,014;-0,0484350919723511
0,016;-0,0649648085236549
0,018;-0,0870044305920601
0,02;-0,109044052660465
0,022;-0,125573769211769
0,024;-0,147613391280174
0,026;-0,169653013348579
0,028;-0,186182729899883
0,03;-0,197202540934086
0,032;-0,202712446451187
0,034;-0,208222351968288
0,036;-0,208222351968288
0,038;-0,208222351968288
0,04;-0,202712446451187
0,042;-0,202712446451187
0,044;-0,197202540934086
0,046;-0,191692635416985
0,048;-0,186182729899883
0,05;-0,180672824382782
0,052;-0,175162918865681
0,054;-0,169653013348579
0,056;-0,158633202314377
0,058;-0,147613391280174
0,06;-0,136593580245972
0,062;-0,125573769211769
0,064;-0,114553958177567
0,066;-0,103534147143364
0,068;-0,0870044305920601
0,07;-0,0704747140407562
0,072;-0,0594549030065536
0,074;-0,0429251864552498
0,076;-0,0319053754210472
0,078;-0,00986575335264206
0,08;0,00115405768156052
0,082;0,0231936797499657
0,084;0,0397233963012695
0,086;0,0617630183696747
0,088;0,0838026404380798
0,09;0,105842262506485
0,092;0,12788188457489
0,094;0,149921506643295
0,096;0,1719611287117
0,098;0,188490845263004
0,1;0,199510656297207
0,102;0,210530467331409
0,104;0,221550278365612
0,106;0,221550278365612
0,108;0,221550278365612
0,11;0,221550278365612
0,112;0,216040372848511
0,114;0,210530467331409
0,116;0,205020561814308
0,118;0,205020561814308
0,12;0,199510656297207
0,122;0,188490845263004
0,124;0,182980939745903
0,126;0,177471034228802
0,128;0,160941317677498
0,13;0,149921506643295
0,132;0,138901695609093
0,134;0,122371979057789
0,136;0,111352168023586
0,138;0,0948224514722824
0,14;0,0782927349209785
0,142;0,0617630183696747
0,144;0,0507432073354721
0,146;0,0342134907841682
0,148;0,0176837742328644
0,15;0,0066639631986618
0,152;-0,0153756588697433
0,154;-0,0374152809381485
0,156;-0,0594549030065536
0,158;-0,0704747140407562
0,16;-0,0980242416262627
0,162;-0,125573769211769
0,164;-0,147613391280174
0,166;-0,164143107831478
0,168;-0,186182729899883
0,17;-0,197202540934086
0,172;-0,208222351968288
0,174;-0,219242163002491
0,176;-0,219242163002491
0,178;-0,224752068519592
0,18;-0,219242163002491
0,182;-0,219242163002491
0,184;-0,21373225748539
0,186;-0,208222351968288
0,188;-0,202712446451187
0,19;-0,191692635416985
0,192;-0,186182729899883
0,194;-0,180672824382782
0,196;-0,175162918865681
0,198;-0,164143107831478
0,2;-0,147613391280174
0,202;-0,136593580245972
0,204;-0,125573769211769
0,206;-0,109044052660465
0,208;-0,0980242416262627
0,21;-0,0870044305920601
0,212;-0,0649648085236549
0,214;-0,0539449974894524
0,216;-0,0374152809381485
0,218;-0,0208855643868446
0,22;-0,00435584783554077
0,222;0,0121738687157631
0,224;0,0342134907841682
0,226;0,0562531128525734
0,228;0,0727828294038773
0,23;0,0948224514722824
0,232;0,116862073540688
0,234;0,138901695609093
0,236;0,160941317677498
0,238;0,177471034228802
0,24;0,194000750780106
0,242;0,210530467331409
0,244;0,221550278365612
0,246;0,227060183882713
0,248;0,221550278365612
0,25;0,227060183882713
0,252;0,227060183882713
0,254;0,216040372848511
0,256;0,210530467331409
0,258;0,205020561814308
0,26;0,194000750780106
0,262;0,194000750780106
0,264;0,182980939745903
0,266;0,177471034228802
0,268;0,166451223194599
0,27;0,155431412160397
0,272;0,138901695609093
0,274;0,12788188457489
0,276;0,116862073540688
0,278;0,100332356989384
0,28;0,0893125459551811
0,282;0,0782927349209785
0,284;0,0617630183696747
0,286;0,0507432073354721
0,288;0,0342134907841682
0,29;0,0231936797499657
0,292;0,0066639631986618
0,294;-0,00986575335264206
0,296;-0,0263954699039459
0,298;-0,0484350919723511
0,3;-0,0649648085236549
0,302;-0,0925143361091614
0,304;-0,114553958177567
0,306;-0,13108367472887
0,308;-0,153123296797276
0,31;-0,175162918865681
0,312;-0,191692635416985
0,314;-0,197202540934086
0,316;-0,21373225748539
0,318;-0,21373225748539
0,32;-0,219242163002491
0,322;-0,21373225748539
0,324;-0,21373225748539
0,326;-0,208222351968288
0,328;-0,202712446451187
0,33;-0,197202540934086
0,332;-0,186182729899883
0,334;-0,180672824382782
0,336;-0,175162918865681
0,338;-0,169653013348579
0,34;-0,153123296797276
0,342;-0,142103485763073
0,344;-0,13108367472887
0,346;-0,120063863694668
0,348;-0,109044052660465
0,35;-0,0925143361091614
0,352;-0,0814945250749588
0,354;-0,0649648085236549
0,356;-0,0539449974894524
0,358;-0,0429251864552498
0,36;-0,0263954699039459
0,362;-0,00986575335264206
0,364;0,00115405768156052
0,366;0,0176837742328644
0,368;0,0342134907841682
0,37;0,0507432073354721
0,372;0,0727828294038773
0,374;0,0838026404380798
0,376;0,105842262506485
0,378;0,122371979057789
0,38;0,133391790091991
0,382;0,149921506643295
0,384;0,160941317677498
0,386;0,166451223194599
0,388;0,166451223194599
0,39;0,160941317677498
0,392;0,155431412160397
0,394;0,144411601126194
0,396;0,12788188457489
0,398;0,116862073540688
0,4;0,100332356989384
0,402;0,0893125459551811
0,404;0,0727828294038773
0,406;0,0617630183696747
0,408;0,0507432073354721
0,41;0,0507432073354721
0,412;0,0397233963012695
0,414;0,0342134907841682
0,416;0,0397233963012695
0,418;0,0452333018183708
0,42;0,0397233963012695
0,422;0,0452333018183708
0,424;0,0507432073354721
0,426;0,0617630183696747
0,428;0,067272923886776
0,43;0,0782927349209785
0,432;0,0893125459551811
0,434;0,100332356989384
0,436;0,111352168023586
0,438;0,116862073540688
0,44;0,122371979057789
0,442;0,133391790091991
0,444;0,133391790091991
0,446;0,12788188457489
0,448;0,12788188457489
0,45;0,122371979057789
0,452;0,111352168023586
0,454;0,111352168023586
0,456;0,100332356989384
0,458;0,0893125459551811
0,46;0,0727828294038773
0,462;0,067272923886776
0,464;0,0562531128525734
0,466;0,0452333018183708
0,468;0,0231936797499657
0,47;0,0121738687157631
0,472;0,00115405768156052
0,474;-0,0153756588697433
0,476;-0,0374152809381485
0,478;-0,0484350919723511
0,48;-0,0759846195578575
0,482;-0,0925143361091614
0,484;-0,114553958177567
0,486;-0,136593580245972
0,488;-0,153123296797276
0,49;-0,169653013348579
0,492;-0,186182729899883
0,494;-0,197202540934086
0,496;-0,202712446451187
0,498;-0,202712446451187
0,5;-0,202712446451187
0,502;-0,202712446451187
0,504;-0,202712446451187
0,506;-0,197202540934086
0,508;-0,191692635416985
0,51;-0,186182729899883
0,512;-0,186182729899883
0,514;-0,175162918865681
0,516;-0,169653013348579
0,518;-0,164143107831478
0,52;-0,153123296797276
0,522;-0,142103485763073
0,524;-0,136593580245972
0,526;-0,125573769211769
0,528;-0,114553958177567
0,53;-0,0980242416262627
0,532;-0,0870044305920601
0,534;-0,0704747140407562
0,536;-0,0594549030065536
0,538;-0,0484350919723511
0,54;-0,0374152809381485
0,542;-0,0153756588697433
0,544;0,00115405768156052
0,546;0,0121738687157631
0,548;0,0342134907841682
0,55;0,0507432073354721
0,552;0,0727828294038773
0,554;0,0948224514722824
0,556;0,122371979057789
0,558;0,138901695609093
0,56;0,160941317677498
0,562;0,177471034228802
0,564;0,194000750780106
0,566;0,205020561814308
0,568;0,216040372848511
0,57;0,216040372848511
0,572;0,221550278365612
0,574;0,221550278365612
0,576;0,216040372848511
0,578;0,210530467331409
0,58;0,205020561814308
0,582;0,205020561814308
0,584;0,199510656297207
0,586;0,188490845263004
0,588;0,182980939745903
0,59;0,177471034228802
0,592;0,1719611287117
0,594;0,155431412160397
0,596;0,144411601126194
0,598;0,138901695609093
0,6;0,116862073540688
0,602;0,111352168023586
0,604;0,0948224514722824
0,606;0,0782927349209785
0,608;0,067272923886776
0,61;0,0507432073354721
0,612;0,0342134907841682
0,614;0,0231936797499657
0,616;0,0066639631986618
0,618;-0,00986575335264206
0,62;-0,0319053754210472
0,622;-0,0539449974894524
0,624;-0,0704747140407562
0,626;-0,0980242416262627
0,628;-0,120063863694668
0,63;-0,136593580245972
0,632;-0,158633202314377
0,634;-0,175162918865681
0,636;-0,186182729899883
0,638;-0,202712446451187
0,64;-0,21373225748539
0,642;-0,219242163002491
0,644;-0,21373225748539
0,646;-0,219242163002491
0,648;-0,21373225748539
0,65;-0,208222351968288
0,652;-0,202712446451187
0,654;-0,197202540934086
0,656;-0,197202540934086
0,658;-0,191692635416985
0,66;-0,180672824382782
0,662;-0,175162918865681
0,664;-0,164143107831478
0,666;-0,153123296797276
0,668;-0,142103485763073
0,67;-0,13108367472887
0,672;-0,114553958177567
0,674;-0,109044052660465
0,676;-0,0925143361091614
0,678;-0,0759846195578575
0,68;-0,0594549030065536
0,682;-0,0539449974894524
0,684;-0,0374152809381485
0,686;-0,0208855643868446
0,688;-0,00986575335264206
0,69;0,0121738687157631
0,692;0,028703585267067
0,694;0,0452333018183708
0,696;0,067272923886776
0,698;0,0893125459551811
0,7;0,105842262506485
0,702;0,133391790091991
0,704;0,149921506643295
0,706;0,1719611287117
0,708;0,188490845263004
0,71;0,199510656297207
0,712;0,210530467331409
0,714;0,221550278365612
0,716;0,221550278365612
0,718;0,221550278365612
0,72;0,221550278365612
0,722;0,216040372848511
0,724;0,210530467331409
0,726;0,199510656297207
0,728;0,199510656297207
0,73;0,188490845263004
0,732;0,182980939745903
0,734;0,177471034228802
0,736;0,166451223194599
0,738;0,160941317677498
0,74;0,144411601126194
0,742;0,138901695609093
0,744;0,122371979057789
0,746;0,111352168023586
0,748;0,100332356989384
0,75;0,0893125459551811
0,752;0,0727828294038773
0,754;0,0562531128525734
0,756;0,0507432073354721
0,758;0,0342134907841682
0,76;0,0176837742328644
0,762;0,00115405768156052
0,764;-0,00986575335264206
0,766;-0,0319053754210472
0,768;-0,0484350919723511
0,77;-0,0649648085236549
0,772;-0,0870044305920601
0,774;-0,109044052660465
0,776;-0,13108367472887
0,778;-0,147613391280174
0,78;-0,169653013348579
0,782;-0,180672824382782
0,784;-0,191692635416985
0,786;-0,208222351968288
0,788;-0,21373225748539
0,79;-0,21373225748539
0,792;-0,21373225748539
0,794;-0,21373225748539
0,796;-0,202712446451187
0,798;-0,202712446451187
0,8;-0,197202540934086
0,802;-0,191692635416985
0,804;-0,186182729899883
0,806;-0,175162918865681
0,808;-0,169653013348579
0,81;-0,158633202314377
0,812;-0,147613391280174
0,814;-0,136593580245972
0,816;-0,125573769211769
0,818;-0,120063863694668
0,82;-0,103534147143364
0,822;-0,0870044305920601
0,824;-0,0759846195578575
0,826;-0,0649648085236549
0,828;-0,0539449974894524
0,83;-0,0319053754210472
0,832;-0,0263954699039459
0,834;-0,00986575335264206
0,836;0,00115405768156052
0,838;0,0176837742328644
0,84;0,0342134907841682
0,842;0,0562531128525734
0,844;0,067272923886776
0,846;0,0893125459551811
0,848;0,105842262506485
0,85;0,116862073540688
0,852;0,133391790091991
0,854;0,149921506643295
0,856;0,155431412160397
0,858;0,160941317677498
0,86;0,160941317677498
0,862;0,160941317677498
0,864;0,155431412160397
0,866;0,144411601126194
0,868;0,133391790091991
0,87;0,116862073540688
0,872;0,100332356989384
0,874;0,0948224514722824
0,876;0,0782927349209785
0,878;0,0617630183696747
0,88;0,0507432073354721
0,882;0,0507432073354721
0,884;0,0452333018183708
0,886;0,0397233963012695
0,888;0,0397233963012695
0,89;0,0397233963012695
0,892;0,0397233963012695
0,894;0,0452333018183708
0,896;0,0452333018183708
0,898;0,0562531128525734
0,9;0,0617630183696747
0,902;0,067272923886776
0,904;0,0782927349209785
0,906;0,0893125459551811
0,908;0,100332356989384
0,91;0,105842262506485
0,912;0,116862073540688
0,914;0,122371979057789
0,916;0,12788188457489
0,918;0,133391790091991
0,92;0,122371979057789
0,922;0,12788188457489
0,924;0,122371979057789
0,926;0,111352168023586
0,928;0,105842262506485
0,93;0,0948224514722824
0,932;0,0893125459551811
0,934;0,0782927349209785
0,936;0,067272923886776
0,938;0,0562531128525734
0,94;0,0452333018183708
0,942;0,028703585267067
0,944;0,0176837742328644
0,946;0,00115405768156052
0,948;-0,00986575335264206
0,95;-0,0319053754210472
0,952;-0,0484350919723511
0,954;-0,0594549030065536
0,956;-0,0870044305920601
0,958;-0,103534147143364
0,96;-0,120063863694668
0,962;-0,142103485763073
0,964;-0,158633202314377
0,966;-0,169653013348579
0,968;-0,186182729899883
0,97;-0,191692635416985
0,972;-0,197202540934086
0,974;-0,197202540934086
0,976;-0,197202540934086
0,978;-0,197202540934086
0,98;-0,197202540934086
0,982;-0,191692635416985
0,984;-0,186182729899883
0,986;-0,180672824382782
0,988;-0,180672824382782
0,99;-0,169653013348579
0,992;-0,164143107831478
0,994;-0,153123296797276
0,996;-0,147613391280174
0,998;-0,142103485763073
1;-0,13108367472887
1,002;-0,120063863694668
1,004;-0,109044052660465
1,006;-0,0925143361091614
1,008;-0,0814945250749588
1,01;-0,0704747140407562
1,012;-0,0594549030065536
1,014;-0,0484350919723511
1,016;-0,0319053754210472
1,018;-0,0208855643868446
1,02;-0,00435584783554077
1,022;0,0121738687157631
1,024;0,028703585267067
1,026;0,0452333018183708
1,028;0,067272923886776
1,03;0,0893125459551811
1,032;0,111352168023586
1,034;0,12788188457489
1,036;0,144411601126194
1,038;0,160941317677498
1,04;0,182980939745903
1,042;0,194000750780106
1,044;0,199510656297207
1,046;0,205020561814308
1,048;0,205020561814308
1,05;0,210530467331409
1,052;0,210530467331409
1,054;0,210530467331409
1,056;0,205020561814308
1,058;0,199510656297207
1,06;0,199510656297207
1,062;0,188490845263004
1,064;0,182980939745903
1,066;0,177471034228802
1,068;0,1719611287117
1,07;0,160941317677498
1,072;0,155431412160397
1,074;0,138901695609093
1,076;0,133391790091991
1,078;0,116862073540688
1,08;0,105842262506485
1,082;0,0948224514722824
1,084;0,0782927349209785
1,086;0,067272923886776
1,088;0,0507432073354721
1,09;0,0397233963012695
1,092;0,0231936797499657
1,094;0,0121738687157631
1,096;-0,00986575335264206
1,098;-0,0263954699039459
1,1;-0,0429251864552498
1,102;-0,0594549030065536
1,104;-0,0870044305920601
1,106;-0,103534147143364
1,108;-0,120063863694668
1,11;-0,142103485763073
1,112;-0,164143107831478
1,114;-0,175162918865681
1,116;-0,191692635416985
1,118;-0,202712446451187
1,12;-0,208222351968288
1,122;-0,21373225748539
1,124;-0,21373225748539
1,126;-0,208222351968288
1,128;-0,208222351968288
1,13;-0,208222351968288
1,132;-0,197202540934086
1,134;-0,191692635416985
1,136;-0,191692635416985
1,138;-0,186182729899883
1,14;-0,180672824382782
1,142;-0,169653013348579
1,144;-0,158633202314377
1,146;-0,147613391280174
1,148;-0,142103485763073
1,15;-0,125573769211769
1,152;-0,114553958177567
1,154;-0,103534147143364
1,156;-0,0925143361091614
1,158;-0,0759846195578575
1,16;-0,0649648085236549
1,162;-0,0484350919723511
1,164;-0,0374152809381485
1,166;-0,0208855643868446
1,168;-0,00435584783554077
1,17;0,0121738687157631
1,172;0,028703585267067
1,174;0,0397233963012695
1,176;0,0617630183696747
1,178;0,0838026404380798
1,18;0,105842262506485
1,182;0,122371979057789
