Temps;V1
0;-0,0831116633489728
0,002;-0,0663244281895459
0,004;-0,0551329380832613
0,006;-0,0439414479769766
0,008;-0,0495371930301189
0,01;-0,0439414479769766
0,012;-0,0495371930301189
0,014;-0,0663244281895459
0,016;-0,0831116633489728
0,018;-0,105494643561542
0,02;-0,133473368827254
0,022;-0,178239329252392
0,024;-0,228601034730673
0,026;-0,290154230315238
0,028;-0,351707425899804
0,03;-0,407664876431227
0,032;-0,441239346750081
0,034;-0,446835091803223
0,036;-0,413260621484369
0,038;-0,334920190740377
0,04;-0,217409544624388
0,042;-0,0831116633489728
0,044;0,0623777080327272
0,046;0,191079844255
0,048;0,297399000264704
0,05;0,35895219584927
0,052;0,392526666168123
0,054;0,381335176061839
0,056;0,35895219584927
0,058;0,308590490370989
0,06;0,258228784892708
0,062;0,207867079414427
0,064;0,163101118989289
0,066;0,129526648670435
0,068;0,0959521783515811
0,07;0,0679734530858696
0,072;0,0567819629795849
0,074;0,039994727820158
0,076;0,0288032377138734
0,078;0,0288032377138734
0,08;0,0288032377138734
0,082;0,0288032377138734
0,084;0,0455904728733003
0,086;0,0567819629795849
0,088;0,0847606882452965
0,09;0,112739413511008
0,092;0,146313883829862
0,094;0,202271334361285
0,096;0,241441549733281
0,098;0,297399000264704
0,1;0,3365692156367
0,102;0,364547940902412
0,104;0,35895219584927
0,106;0,330973470583558
0,108;0,258228784892708
0,11;0,163101118989289
0,112;0,0511862179264426
0,114;-0,0607286831364036
0,116;-0,167047839146107
0,118;-0,2453882698901
0,12;-0,301345720421523
0,122;-0,329324445687234
0,124;-0,334920190740377
0,126;-0,31813295558095
0,128;-0,284558485262096
0,13;-0,2453882698901
0,132;-0,211813799571246
0,134;-0,178239329252392
0,136;-0,144664858933538
0,138;-0,122281878720969
0,14;-0,0943031534552574
0,142;-0,0775159182958305
0,144;-0,0607286831364036
0,146;-0,0607286831364036
0,148;-0,0551329380832613
0,15;-0,0551329380832613
0,152;-0,0551329380832613
0,154;-0,0607286831364036
0,156;-0,0719201732426882
0,158;-0,0887074084021151
0,16;-0,105494643561542
0,162;-0,127877623774111
0,164;-0,144664858933538
