Temps;V1
0;-0,155856349039823
0,002;-0,127877623774111
0,004;-0,105494643561542
0,006;-0,0887074084021151
0,008;-0,0719201732426882
0,01;-0,0495371930301189
0,012;-0,0439414479769766
0,014;-0,0271542128175497
0,016;-0,0215584677644074
0,018;-0,0215584677644074
0,02;-0,0159627227112651
0,022;-0,0103669776581228
0,024;-0,0103669776581228
0,026;-0,0103669776581228
0,028;-0,0103669776581228
0,03;0,00082451244816184
0,032;-0,00477123260498047
0,034;-0,00477123260498047
0,036;-0,0103669776581228
0,038;-0,0103669776581228
0,04;-0,00477123260498047
0,042;-0,00477123260498047
0,044;-0,00477123260498047
0,046;-0,0159627227112651
0,048;-0,0103669776581228
0,05;-0,0103669776581228
0,052;-0,0159627227112651
0,054;-0,0215584677644074
0,056;-0,0271542128175497
0,058;-0,0383457029238343
0,06;-0,0495371930301189
0,062;-0,0663244281895459
0,064;-0,0887074084021151
0,066;-0,111090388614684
0,068;-0,139069113880396
0,07;-0,161452094092965
0,072;-0,195026564411819
0,074;-0,223005289677531
0,076;-0,2453882698901
0,078;-0,256579759996384
0,08;-0,2453882698901
0,082;-0,228601034730673
0,084;-0,195026564411819
0,086;-0,150260603986681
0,088;-0,0887074084021151
0,09;-0,0159627227112651
0,092;0,0455904728733003
0,094;0,107143668457866
0,096;0,151909628883004
0,098;0,179888354148716
0,1;0,207867079414427
0,102;0,207867079414427
0,104;0,207867079414427
0,106;0,191079844255
0,108;0,168696864042431
0,11;0,151909628883004
0,112;0,123930903617293
0,114;0,101547923404723
0,116;0,0847606882452965
0,118;0,0623777080327272
0,12;0,0511862179264426
0,122;0,0455904728733003
0,124;0,039994727820158
0,126;0,0288032377138734
0,128;0,0288032377138734
0,13;0,0288032377138734
0,132;0,0343989827670157
0,134;0,039994727820158
0,136;0,0511862179264426
0,138;0,0679734530858696
0,14;0,0959521783515811
0,142;0,11833515856415
0,144;0,146313883829862
0,146;0,174292609095573
0,148;0,21346282446757
0,15;0,235845804680139
0,152;0,258228784892708
0,154;0,269420274998993
0,156;0,26382452994585
0,158;0,241441549733281
0,16;0,191079844255
0,162;0,14071813877672
0,164;0,0679734530858696
0,166;-0,0103669776581228
0,168;-0,0831116633489728
0,17;-0,139069113880396
0,172;-0,195026564411819
0,174;-0,228601034730673
0,176;-0,250984014943242
0,178;-0,2453882698901
0,18;-0,239792524836957
0,182;-0,223005289677531
0,184;-0,195026564411819
0,186;-0,17264358419925
0,188;-0,150260603986681
0,19;-0,122281878720969
0,192;-0,0998988985083997
0,194;-0,0887074084021151
0,196;-0,0719201732426882
0,198;-0,0607286831364036
0,2;-0,0495371930301189
0,202;-0,0439414479769766
0,204;-0,0439414479769766
0,206;-0,0495371930301189
0,208;-0,0551329380832613
0,21;-0,0607286831364036
0,212;-0,0719201732426882
0,214;-0,0887074084021151
0,216;-0,116686133667827
0,218;-0,139069113880396
0,22;-0,17264358419925
0,222;-0,206218054518104
