Temps;V1
0;-0,223005289677531
0,002;-0,0215584677644074
0,004;0,174292609095573
0,006;0,347760705742985
0,008;0,4820585870184
0,01;0,565994762815535
0,012;0,599569233134389
0,014;0,582781997974962
0,016;0,532420292496681
0,018;0,459675606805831
0,02;0,375739431008697
0,022;0,297399000264704
0,024;0,230250059626997
0,026;0,168696864042431
0,028;0,11833515856415
0,03;0,0903564332984388
0,032;0,0511862179264426
0,034;0,0343989827670157
0,036;0,0232074926607311
0,038;0,0120160025544465
0,04;0,00082451244816184
0,042;0,00082451244816184
0,044;0,00082451244816184
0,046;0,00642025750130415
0,048;0,0176117476075888
0,05;0,0288032377138734
0,052;0,0511862179264426
0,054;0,0791649431921542
0,056;0,11833515856415
0,058;0,168696864042431
0,06;0,241441549733281
0,062;0,325377725530416
0,064;0,426101136486977
0,066;0,526824547443539
0,068;0,621952213346958
0,07;0,677909663878381
0,072;0,694696899037808
0,074;0,638739448506385
0,076;0,532420292496681
0,078;0,353356450796127
0,08;0,14071813877672
0,082;-0,0887074084021151
0,084;-0,290154230315238
0,086;-0,474813817068934
0,088;-0,597920208238065
0,09;-0,670664893928915
0,092;-0,6818563840352
0,094;-0,642686168663204
0,096;-0,569941482972354
0,098;-0,480409562122077
0,1;-0,3908776412718
0,102;-0,306941465474665
0,104;-0,234196779783815
0,106;-0,167047839146107
0,108;-0,133473368827254
0,11;-0,0887074084021151
0,112;-0,0663244281895459
0,114;-0,0439414479769766
0,116;-0,0271542128175497
0,118;-0,0103669776581228
0,12;-0,00477123260498047
0,122;-0,0103669776581228
0,124;-0,00477123260498047
0,126;-0,0159627227112651
0,128;-0,0215584677644074
0,13;-0,0439414479769766
0,132;-0,0663244281895459
0,134;-0,105494643561542
0,136;-0,144664858933538
0,138;-0,195026564411819
0,14;-0,262175505049527
0,142;-0,351707425899804
0,144;-0,441239346750081
0,146;-0,530771267600358
0,148;-0,603515953291208
0,15;-0,653877658769488
0,152;-0,648281913716346
0,154;-0,586728718131781
0,156;-0,474813817068934
0,158;-0,312537210527807
0,16;-0,116686133667827
0,162;0,0791649431921542
0,164;0,269420274998993
0,166;0,43169688154012
0,168;0,532420292496681
0,17;0,599569233134389
0,172;0,605164978187531
0,174;0,571590507868677
0,176;0,510037312284112
0,178;0,437292626593262
0,18;0,347760705742985
0,182;0,269420274998993
0,184;0,202271334361285
0,186;0,14071813877672
0,188;0,101547923404723
0,19;0,0567819629795849
0,192;0,0288032377138734
0,194;0,0120160025544465
0,196;0,00642025750130415
0,198;-0,00477123260498047
0,2;0,00082451244816184
0,202;0,00082451244816184
0,204;0,00642025750130415
0,206;0,0120160025544465
0,208;0,0232074926607311
0,21;0,039994727820158
0,212;0,0623777080327272
0,214;0,0903564332984388
0,216;0,135122393723577
0,218;0,185484099201858
0,22;0,252633039839566
0,222;0,319781980477273
0,224;0,403718156274408
0,226;0,487654332071543
0,228;0,55480327270925
0,23;0,588377743028104
0,232;0,582781997974962
0,234;0,526824547443539
0,236;0,414909646380693
0,238;0,258228784892708
0,24;0,0791649431921542
0,242;-0,116686133667827
0,244;-0,301345720421523
0,246;-0,446835091803223
0,248;-0,553154247812927
0,25;-0,614707443397492
0,252;-0,614707443397492
0,254;-0,581132973078638
0,256;-0,513984032440931
0,258;-0,435643601696938
0,26;-0,346111680846661
0,262;-0,273366995155811
0,264;-0,200622309464961
0,266;-0,144664858933538
0,268;-0,0943031534552574
0,27;-0,0719201732426882
0,272;-0,0439414479769766
0,274;-0,0271542128175497
0,276;-0,0159627227112651
0,278;-0,0103669776581228
0,28;-0,00477123260498047
0,282;0,00082451244816184
0,284;0,00082451244816184
0,286;0,00082451244816184
0,288;0,00082451244816184
0,29;0,00642025750130415
0,292;0,00082451244816184
0,294;0,00082451244816184
0,296;0,00082451244816184
0,298;0,00082451244816184
0,3;0,00082451244816184
0,302;-0,00477123260498047
0,304;0,00082451244816184
0,306;0,00082451244816184
0,308;0,00082451244816184
0,31;0,00082451244816184
0,312;0,00642025750130415
0,314;0,00082451244816184
0,316;0,00082451244816184
0,318;0,00082451244816184
0,32;0,00082451244816184
0,322;-0,00477123260498047
0,324;-0,00477123260498047
0,326;-0,0103669776581228
0,328;-0,0215584677644074
0,33;-0,0439414479769766
0,332;-0,0719201732426882
0,334;-0,105494643561542
0,336;-0,161452094092965
0,338;-0,234196779783815
0,34;-0,31813295558095
0,342;-0,413260621484369
0,344;-0,513984032440931
0,346;-0,592324463184923
0,348;-0,653877658769488
0,35;-0,670664893928915
0,352;-0,637090423610061
0,354;-0,5363670126535
0,356;-0,3908776412718
0,358;-0,206218054518104
0,36;-0,00477123260498047
0,362;0,185484099201858
0,364;0,35895219584927
0,366;0,4820585870184
0,368;0,565994762815535
0,37;0,582781997974962
0,372;0,565994762815535
0,374;0,515633057337254
0,376;0,442888371646404
0,378;0,364547940902412
0,38;0,291803255211562
0,382;0,21346282446757
0,384;0,163101118989289
0,386;0,112739413511008
0,388;0,0791649431921542
0,39;0,0511862179264426
0,392;0,0288032377138734
0,394;0,0176117476075888
0,396;0,00082451244816184
0,398;-0,00477123260498047
0,4;-0,0159627227112651
0,402;-0,0215584677644074
0,404;-0,0159627227112651
0,406;-0,0159627227112651
0,408;0,00082451244816184
0,41;0,0232074926607311
0,412;0,0511862179264426
0,414;0,0847606882452965
0,416;0,14071813877672
0,418;0,207867079414427
0,42;0,28620751015842
0,422;0,375739431008697
0,424;0,470867096912116
0,426;0,55480327270925
0,428;0,633143703453243
0,43;0,655526683665812
0,432;0,633143703453243
0,434;0,560399017762393
0,436;0,43169688154012
0,438;0,269420274998993
0,44;0,0679734530858696
0,442;-0,127877623774111
0,444;-0,312537210527807
0,446;-0,458026581909508
0,448;-0,553154247812927
0,45;-0,597920208238065
0,452;-0,603515953291208
0,454;-0,564345737919211
0,456;-0,502792542334646
0,458;-0,424452111590654
0,46;-0,351707425899804
0,462;-0,278962740208954
0,464;-0,217409544624388
0,466;-0,167047839146107
0,468;-0,122281878720969
0,47;-0,0943031534552574
0,472;-0,0607286831364036
0,474;-0,0495371930301189
0,476;-0,0271542128175497
0,478;-0,0215584677644074
0,48;-0,0103669776581228
0,482;-0,0103669776581228
0,484;-0,0159627227112651
0,486;-0,0159627227112651
0,488;-0,032749957870692
0,49;-0,0439414479769766
0,492;-0,0719201732426882
0,494;-0,0998988985083997
0,496;-0,139069113880396
0,498;-0,189430819358677
0,5;-0,256579759996384
0,502;-0,334920190740377
0,504;-0,424452111590654
0,506;-0,513984032440931
0,508;-0,597920208238065
0,51;-0,648281913716346
0,512;-0,659473403822631
0,514;-0,625898933503777
0,516;-0,530771267600358
0,518;-0,385281896218657
0,52;-0,200622309464961
0,522;-0,00477123260498047
0,524;0,185484099201858
0,526;0,364547940902412
0,528;0,493250077124685
0,53;0,571590507868677
0,532;0,599569233134389
0,534;0,588377743028104
0,536;0,538016037549824
0,538;0,470867096912116
0,54;0,386930921114981
0,542;0,314186235424131
0,544;0,235845804680139
0,546;0,179888354148716
0,548;0,129526648670435
0,55;0,0959521783515811
0,552;0,0623777080327272
0,554;0,039994727820158
0,556;0,0288032377138734
0,558;0,0120160025544465
0,56;0,00642025750130415
0,562;0,00642025750130415
0,564;0,00082451244816184
0,566;0,00642025750130415
0,568;0,0120160025544465
0,57;0,0232074926607311
0,572;0,039994727820158
0,574;0,0567819629795849
0,576;0,0903564332984388
0,578;0,129526648670435
0,58;0,179888354148716
0,582;0,241441549733281
0,584;0,325377725530416
0,586;0,40931390132755
0,588;0,498845822177827
0,59;0,57718625292182
0,592;0,6275479584001
0,594;0,633143703453243
0,596;0,588377743028104
0,598;0,4820585870184
0,6;0,330973470583558
0,602;0,146313883829862
0,604;-0,0439414479769766
0,606;-0,239792524836957
0,608;-0,402069131378084
0,61;-0,530771267600358
0,612;-0,603515953291208
0,614;-0,625898933503777
0,616;-0,603515953291208
0,618;-0,553154247812927
0,62;-0,480409562122077
0,622;-0,396473386324942
0,624;-0,31813295558095
0,626;-0,250984014943242
0,628;-0,200622309464961
0,63;-0,144664858933538
0,632;-0,111090388614684
0,634;-0,0775159182958305
0,636;-0,0551329380832613
0,638;-0,0383457029238343
0,64;-0,0215584677644074
0,642;-0,0159627227112651
0,644;-0,0103669776581228
0,646;-0,0103669776581228
0,648;-0,0215584677644074
0,65;-0,0215584677644074
0,652;-0,032749957870692
0,654;-0,0495371930301189
0,656;-0,0719201732426882
0,658;-0,0998988985083997
0,66;-0,144664858933538
0,662;-0,189430819358677
0,664;-0,262175505049527
0,666;-0,329324445687234
0,668;-0,418856366537511
0,67;-0,508388287387788
0,672;-0,581132973078638
0,674;-0,625898933503777
0,676;-0,642686168663204
0,678;-0,592324463184923
0,68;-0,502792542334646
0,682;-0,351707425899804
0,684;-0,178239329252392
0,686;0,0176117476075888
0,688;0,207867079414427
0,69;0,370143685955554
0,692;0,493250077124685
0,694;0,571590507868677
0,696;0,605164978187531
0,698;0,588377743028104
0,7;0,543611782602966
0,702;0,470867096912116
0,704;0,392526666168123
0,706;0,319781980477273
0,708;0,241441549733281
0,71;0,179888354148716
0,712;0,123930903617293
0,714;0,0791649431921542
0,716;0,0511862179264426
0,718;0,0232074926607311
0,72;0,00642025750130415
0,722;-0,00477123260498047
0,724;-0,0103669776581228
0,726;-0,0159627227112651
0,728;-0,00477123260498047
0,73;-0,00477123260498047
0,732;0,00642025750130415
0,734;0,0176117476075888
0,736;0,0343989827670157
0,738;0,0567819629795849
0,74;0,0903564332984388
0,742;0,129526648670435
0,744;0,179888354148716
0,746;0,241441549733281
0,748;0,319781980477273
0,75;0,403718156274408
0,752;0,493250077124685
0,754;0,571590507868677
0,756;0,6275479584001
0,758;0,633143703453243
0,76;0,593973488081247
0,762;0,493250077124685
0,764;0,342164960689843
0,766;0,157505373936146
0,768;-0,0439414479769766
0,77;-0,239792524836957
0,772;-0,407664876431227
0,774;-0,547558502759784
0,776;-0,631494678556919
0,778;-0,659473403822631
0,78;-0,642686168663204
0,782;-0,586728718131781
0,784;-0,508388287387788
0,786;-0,418856366537511
0,788;-0,329324445687234
0,79;-0,2453882698901
0,792;-0,178239329252392
0,794;-0,127877623774111
0,796;-0,0887074084021151
0,798;-0,0551329380832613
0,8;-0,0383457029238343
0,802;-0,0159627227112651
0,804;-0,0159627227112651
0,806;-0,0103669776581228
0,808;-0,0103669776581228
0,81;0,00082451244816184
0,812;-0,00477123260498047
0,814;0,00082451244816184
0,816;-0,00477123260498047
0,818;0,00642025750130415
0,82;0,00082451244816184
0,822;0,00082451244816184
0,824;0,00082451244816184
0,826;0,00082451244816184
0,828;0,00082451244816184
0,83;0,00082451244816184
0,832;0,00082451244816184
0,834;0,00082451244816184
0,836;0,00082451244816184
0,838;0,00082451244816184
0,84;0,00642025750130415
0,842;0,00642025750130415
0,844;0,00082451244816184
0,846;0,00082451244816184
0,848;-0,00477123260498047
0,85;0,00082451244816184
0,852;-0,00477123260498047
0,854;-0,0103669776581228
0,856;-0,0159627227112651
0,858;-0,0271542128175497
0,86;-0,0495371930301189
0,862;-0,0831116633489728
0,864;-0,116686133667827
0,866;-0,178239329252392
0,868;-0,2453882698901
0,87;-0,334920190740377
0,872;-0,418856366537511
0,874;-0,497196797281504
0,876;-0,575537228025496
0,878;-0,620303188450634
0,88;-0,620303188450634
0,882;-0,581132973078638
0,884;-0,486005307175219
0,886;-0,357303170952946
0,888;-0,189430819358677
0,89;-0,0103669776581228
0,892;0,168696864042431
0,894;0,314186235424131
0,896;0,43169688154012
0,898;0,498845822177827
0,9;0,538016037549824
0,902;0,526824547443539
0,904;0,487654332071543
0,906;0,43169688154012
0,908;0,364547940902412
0,91;0,291803255211562
0,912;0,230250059626997
0,914;0,174292609095573
0,916;0,135122393723577
0,918;0,0959521783515811
0,92;0,0679734530858696
0,922;0,0455904728733003
0,924;0,0232074926607311
0,926;0,00642025750130415
0,928;0,00082451244816184
0,93;-0,00477123260498047
0,932;-0,0103669776581228
0,934;-0,0159627227112651
0,936;-0,0103669776581228
0,938;-0,00477123260498047
0,94;0,00642025750130415
0,942;0,0288032377138734
0,944;0,0623777080327272
0,946;0,101547923404723
0,948;0,146313883829862
0,95;0,207867079414427
0,952;0,275016020052135
0,954;0,35895219584927
0,956;0,437292626593262
0,958;0,521228802390397
0,96;0,571590507868677
0,962;0,605164978187531
0,964;0,593973488081247
0,966;0,538016037549824
0,968;0,426101136486977
0,97;0,280611765105277
0,972;0,107143668457866
0,974;-0,0719201732426882
0,976;-0,2453882698901
0,978;-0,385281896218657
0,98;-0,491601052228361
0,982;-0,558749992866069
0,984;-0,575537228025496
0,986;-0,558749992866069
0,988;-0,508388287387788
0,99;-0,446835091803223
0,992;-0,368494661059231
0,994;-0,301345720421523
0,996;-0,228601034730673
0,998;-0,183835074305534
1;-0,133473368827254
1,002;-0,0998988985083997
1,004;-0,0719201732426882
1,006;-0,0551329380832613
1,008;-0,0383457029238343
1,01;-0,0215584677644074
1,012;-0,0159627227112651
1,014;-0,0159627227112651
1,016;-0,00477123260498047
1,018;-0,0159627227112651
1,02;-0,0215584677644074
1,022;-0,0271542128175497
1,024;-0,0439414479769766
1,026;-0,0663244281895459
1,028;-0,0998988985083997
1,03;-0,133473368827254
1,032;-0,189430819358677
1,034;-0,2453882698901
1,036;-0,323728700634092
1,038;-0,407664876431227
1,04;-0,502792542334646
1,042;-0,586728718131781
1,044;-0,659473403822631
1,046;-0,687452129088342
1,048;-0,659473403822631
1,05;-0,586728718131781
1,052;-0,458026581909508
1,054;-0,284558485262096
1,056;-0,0887074084021151
1,058;0,112739413511008
1,06;0,297399000264704
1,062;0,454079861752689
1,064;0,560399017762393
1,066;0,616356468293816
1,068;0,621952213346958
1,07;0,588377743028104
1,072;0,526824547443539
1,074;0,448484116699547
1,076;0,364547940902412
1,078;0,28620751015842
1,08;0,219058569520712
1,082;0,163101118989289
1,084;0,11833515856415
1,086;0,0791649431921542
1,088;0,0567819629795849
1,09;0,0343989827670157
1,092;0,0232074926607311
1,094;0,00642025750130415
1,096;0,00082451244816184
1,098;0,00082451244816184
1,1;-0,00477123260498047
1,102;0,00082451244816184
1,104;0,00082451244816184
1,106;0,0120160025544465
1,108;0,0232074926607311
1,11;0,0455904728733003
1,112;0,0735691981390119
1,114;0,112739413511008
1,116;0,163101118989289
1,118;0,230250059626997
1,12;0,297399000264704
1,122;0,386930921114981
1,124;0,476462841965258
1,126;0,560399017762393
1,128;0,621952213346958
1,13;0,644335193559527
1,132;0,616356468293816
1,134;0,543611782602966
1,136;0,403718156274408
1,138;0,241441549733281
1,14;0,0455904728733003
1,142;-0,150260603986681
1,144;-0,323728700634092
1,146;-0,458026581909508
1,148;-0,564345737919211
1,15;-0,614707443397492
1,152;-0,620303188450634
1,154;-0,592324463184923
1,156;-0,530771267600358
1,158;-0,458026581909508
1,16;-0,379686151165515
1,162;-0,306941465474665
1,164;-0,234196779783815
1,166;-0,183835074305534
1,168;-0,133473368827254
1,17;-0,105494643561542
1,172;-0,0775159182958305
1,174;-0,0551329380832613
1,176;-0,032749957870692
1,178;-0,0271542128175497
1,18;-0,0159627227112651
1,182;-0,0159627227112651
1,184;-0,0103669776581228
1,186;-0,0159627227112651
1,188;-0,0215584677644074
1,19;-0,032749957870692
1,192;-0,0495371930301189
1,194;-0,0663244281895459
1,196;-0,0943031534552574
1,198;-0,122281878720969
1,2;-0,167047839146107
1,202;-0,217409544624388
1,204;-0,290154230315238
1,206;-0,357303170952946
1,208;-0,435643601696938
1,21;-0,513984032440931
1,212;-0,569941482972354
1,214;-0,592324463184923
1,216;-0,581132973078638
1,218;-0,513984032440931
1,22;-0,413260621484369
1,222;-0,273366995155811
1,224;-0,111090388614684
1,226;0,0623777080327272
1,228;0,224654314573854
1,23;0,364547940902412
1,232;0,470867096912116
1,234;0,532420292496681
1,236;0,560399017762393
1,238;0,538016037549824
1,24;0,498845822177827
1,242;0,43169688154012
1,244;0,364547940902412
1,246;0,291803255211562
1,248;0,230250059626997
1,25;0,174292609095573
1,252;0,123930903617293
1,254;0,0903564332984388
1,256;0,0567819629795849
1,258;0,0288032377138734
1,26;0,0120160025544465
1,262;0,00642025750130415
1,264;-0,00477123260498047
1,266;-0,00477123260498047
1,268;-0,00477123260498047
1,27;0,00082451244816184
1,272;0,00082451244816184
1,274;0,0176117476075888
1,276;0,0288032377138734
1,278;0,0511862179264426
1,28;0,0679734530858696
1,282;0,101547923404723
1,284;0,14071813877672
1,286;0,191079844255
1,288;0,258228784892708
1,29;0,325377725530416
1,292;0,403718156274408
1,294;0,4820585870184
1,296;0,549207527656108
1,298;0,588377743028104
1,3;0,599569233134389
1,302;0,549207527656108
1,304;0,459675606805831
1,306;0,319781980477273
1,308;0,151909628883004
1,31;-0,032749957870692
1,312;-0,217409544624388
1,314;-0,379686151165515
1,316;-0,508388287387788
1,318;-0,597920208238065
1,32;-0,631494678556919
1,322;-0,625898933503777
1,324;-0,581132973078638
1,326;-0,508388287387788
1,328;-0,430047856643796
1,33;-0,340515935793519
1,332;-0,267771250102669
1,334;-0,200622309464961
1,336;-0,144664858933538
1,338;-0,0943031534552574
1,34;-0,0663244281895459
1,342;-0,0495371930301189
1,344;-0,0271542128175497
1,346;-0,0159627227112651
1,348;-0,0103669776581228
1,35;-0,00477123260498047
1,352;-0,00477123260498047
1,354;-0,00477123260498047
1,356;0,00082451244816184
1,358;-0,00477123260498047
1,36;0,00642025750130415
1,362;0,00082451244816184
1,364;0,00082451244816184
1,366;0,00082451244816184
1,368;0,00082451244816184
1,37;0,00082451244816184
1,372;0,00082451244816184
1,374;0,00082451244816184
1,376;0,00642025750130415
1,378;0,00642025750130415
1,38;0,00082451244816184
1,382;0,00642025750130415
1,384;0,00082451244816184
1,386;0,00082451244816184
1,388;0,00082451244816184
1,39;0,00082451244816184
1,392;0,00082451244816184
1,394;0,00082451244816184
1,396;-0,00477123260498047
1,398;-0,00477123260498047
1,4;-0,0159627227112651
1,402;-0,0215584677644074
1,404;-0,0383457029238343
1,406;-0,0607286831364036
1,408;-0,0943031534552574
1,41;-0,144664858933538
1,412;-0,206218054518104
1,414;-0,284558485262096
1,416;-0,362898916006088
1,418;-0,458026581909508
1,42;-0,5363670126535
1,422;-0,603515953291208
1,424;-0,637090423610061
1,426;-0,625898933503777
1,428;-0,569941482972354
1,43;-0,46362232696265
1,432;-0,323728700634092
1,434;-0,150260603986681
1,436;0,0232074926607311
1,438;0,196675589308143
1,44;0,3365692156367
1,442;0,454079861752689
1,444;0,515633057337254
1,446;0,543611782602966
1,448;0,538016037549824
1,45;0,493250077124685
1,452;0,437292626593262
1,454;0,370143685955554
1,456;0,302994745317847
1,458;0,235845804680139
1,46;0,179888354148716
1,462;0,135122393723577
1,464;0,0959521783515811
1,466;0,0679734530858696
1,468;0,0455904728733003
1,47;0,0288032377138734
1,472;0,0120160025544465
1,474;0,00082451244816184
1,476;-0,00477123260498047
1,478;-0,0159627227112651
1,48;-0,0159627227112651
1,482;-0,0159627227112651
1,484;-0,0159627227112651
1,486;0,00082451244816184
1,488;0,0120160025544465
1,49;0,0343989827670157
1,492;0,0679734530858696
1,494;0,107143668457866
1,496;0,157505373936146
1,498;0,219058569520712
1,5;0,280611765105277
1,502;0,35895219584927
1,504;0,43169688154012
1,506;0,498845822177827
1,508;0,549207527656108
1,51;0,571590507868677
1,512;0,560399017762393
1,514;0,493250077124685
1,516;0,398122411221266
1,518;0,26382452994585
1,52;0,112739413511008
1,522;-0,0495371930301189
1,524;-0,206218054518104
1,526;-0,340515935793519
1,528;-0,441239346750081
1,53;-0,508388287387788
1,532;-0,5363670126535
1,534;-0,525175522547215
1,536;-0,486005307175219
1,538;-0,435643601696938
1,54;-0,379686151165515
1,542;-0,312537210527807
1,544;-0,256579759996384
1,546;-0,200622309464961
1,548;-0,155856349039823
1,55;-0,116686133667827
1,552;-0,0943031534552574
1,554;-0,0663244281895459
1,556;-0,0551329380832613
1,558;-0,032749957870692
1,56;-0,0271542128175497
1,562;-0,0215584677644074
1,564;-0,0159627227112651
1,566;-0,0159627227112651
1,568;-0,0159627227112651
1,57;-0,0271542128175497
1,572;-0,032749957870692
1,574;-0,0439414479769766
1,576;-0,0663244281895459
1,578;-0,0943031534552574
1,58;-0,127877623774111
1,582;-0,17264358419925
1,584;-0,228601034730673
1,586;-0,301345720421523
1,588;-0,374090406112373
1,59;-0,458026581909508
1,592;-0,5363670126535
1,594;-0,597920208238065
1,596;-0,631494678556919
1,598;-0,625898933503777
1,6;-0,575537228025496
1,602;-0,469218072015792
1,604;-0,329324445687234
1,606;-0,155856349039823
1,608;0,0288032377138734
1,61;0,202271334361285
1,612;0,353356450796127
1,614;0,470867096912116
1,616;0,543611782602966
1,618;0,57718625292182
1,62;0,571590507868677
1,622;0,526824547443539
1,624;0,470867096912116
1,626;0,392526666168123
1,628;0,319781980477273
1,63;0,252633039839566
1,632;0,196675589308143
1,634;0,146313883829862
1,636;0,107143668457866
1,638;0,0791649431921542
1,64;0,0511862179264426
1,642;0,0343989827670157
1,644;0,0232074926607311
1,646;0,00642025750130415
1,648;0,00082451244816184
1,65;0,00082451244816184
1,652;0,00082451244816184
1,654;0,00082451244816184
1,656;0,00082451244816184
1,658;0,0120160025544465
1,66;0,0232074926607311
1,662;0,0455904728733003
1,664;0,0623777080327272
1,666;0,101547923404723
1,668;0,14071813877672
1,67;0,196675589308143
1,672;0,26382452994585
1,674;0,342164960689843
1,676;0,43169688154012
1,678;0,515633057337254
1,68;0,588377743028104
1,682;0,638739448506385
1,684;0,644335193559527
1,686;0,599569233134389
1,688;0,50444156723097
1,69;0,364547940902412
1,692;0,191079844255
1,694;-0,0103669776581228
1,696;-0,189430819358677
1,698;-0,362898916006088
1,7;-0,497196797281504
1,702;-0,586728718131781
1,704;-0,625898933503777
1,706;-0,625898933503777
1,708;-0,592324463184923
1,71;-0,530771267600358
1,712;-0,458026581909508
1,714;-0,379686151165515
1,716;-0,306941465474665
1,718;-0,239792524836957
1,72;-0,189430819358677
1,722;-0,139069113880396
1,724;-0,105494643561542
1,726;-0,0719201732426882
1,728;-0,0495371930301189
1,73;-0,032749957870692
1,732;-0,0215584677644074
1,734;-0,0159627227112651
1,736;-0,0103669776581228
1,738;-0,00477123260498047
1,74;-0,00477123260498047
1,742;-0,0159627227112651
1,744;-0,0215584677644074
1,746;-0,0383457029238343
1,748;-0,0495371930301189
1,75;-0,0719201732426882
1,752;-0,0943031534552574
1,754;-0,133473368827254
1,756;-0,178239329252392
1,758;-0,234196779783815
1,76;-0,306941465474665
1,762;-0,374090406112373
1,764;-0,452430836856365
1,766;-0,513984032440931
1,768;-0,569941482972354
1,77;-0,586728718131781
1,772;-0,569941482972354
1,774;-0,513984032440931
1,776;-0,407664876431227
1,778;-0,267771250102669
1,78;-0,111090388614684
1,782;0,0455904728733003
1,784;0,207867079414427
1,786;0,342164960689843
1,788;0,448484116699547
1,79;0,510037312284112
1,792;0,543611782602966
1,794;0,532420292496681
1,796;0,498845822177827
1,798;0,448484116699547
1,8;0,381335176061839
1,802;0,308590490370989
1,804;0,247037294786423
1,806;0,191079844255
1,808;0,14071813877672
1,81;0,107143668457866
1,812;0,0735691981390119
1,814;0,0455904728733003
1,816;0,0232074926607311
1,818;0,0120160025544465
1,82;0,00082451244816184
1,822;-0,00477123260498047
1,824;-0,00477123260498047
1,826;0,00082451244816184
1,828;0,00082451244816184
1,83;0,0120160025544465
1,832;0,0232074926607311
1,834;0,0288032377138734
1,836;0,0511862179264426
1,838;0,0679734530858696
1,84;0,101547923404723
1,842;0,135122393723577
1,844;0,185484099201858
1,846;0,235845804680139
1,848;0,302994745317847
1,85;0,375739431008697
1,852;0,442888371646404
1,854;0,50444156723097
1,856;0,538016037549824
1,858;0,549207527656108
1,86;0,521228802390397
1,862;0,448484116699547
1,864;0,330973470583558
1,866;0,191079844255
1,868;0,0288032377138734
1,87;-0,133473368827254
1,872;-0,290154230315238
1,874;-0,424452111590654
1,876;-0,513984032440931
1,878;-0,569941482972354
1,88;-0,581132973078638
1,882;-0,564345737919211
1,884;-0,513984032440931
1,886;-0,452430836856365
1,888;-0,374090406112373
1,89;-0,306941465474665
1,892;-0,234196779783815
1,894;-0,17264358419925
1,896;-0,127877623774111
1,898;-0,0887074084021151
1,9;-0,0607286831364036
1,902;-0,0383457029238343
1,904;-0,0271542128175497
1,906;-0,0159627227112651
1,908;-0,0103669776581228
1,91;-0,0103669776581228
1,912;-0,0103669776581228
1,914;-0,00477123260498047
1,916;-0,00477123260498047
1,918;0,00082451244816184
1,92;0,00082451244816184
1,922;-0,00477123260498047
1,924;0,00082451244816184
1,926;0,00082451244816184
1,928;0,00082451244816184
1,93;0,00082451244816184
1,932;0,00082451244816184
1,934;0,00082451244816184
1,936;0,00082451244816184
1,938;0,00082451244816184
1,94;0,00642025750130415
1,942;0,00082451244816184
