Temps;V1
0;0,00082451244816184
0,002;0,00082451244816184
0,004;0,00082451244816184
0,006;0,00082451244816184
0,008;0,00082451244816184
0,01;0,00082451244816184
0,012;-0,00477123260498047
0,014;-0,0103669776581228
0,016;-0,00477123260498047
0,018;-0,0103669776581228
0,02;-0,0103669776581228
0,022;-0,0159627227112651
0,024;-0,0271542128175497
0,026;-0,0383457029238343
0,028;-0,0607286831364036
0,03;-0,0943031534552574
0,032;-0,144664858933538
0,034;-0,200622309464961
0,036;-0,284558485262096
0,038;-0,374090406112373
0,04;-0,46362232696265
0,042;-0,5363670126535
0,044;-0,575537228025496
0,046;-0,558749992866069
0,048;-0,491601052228361
0,05;-0,362898916006088
0,052;-0,195026564411819
0,054;0,00082451244816184
0,056;0,179888354148716
0,058;0,330973470583558
0,06;0,437292626593262
0,062;0,487654332071543
0,064;0,493250077124685
0,066;0,459675606805831
0,068;0,398122411221266
0,07;0,325377725530416
0,072;0,258228784892708
0,074;0,191079844255
0,076;0,14071813877672
0,078;0,0959521783515811
0,08;0,0679734530858696
0,082;0,039994727820158
0,084;0,0232074926607311
0,086;0,0120160025544465
0,088;0,00642025750130415
0,09;-0,00477123260498047
0,092;0,00642025750130415
0,094;0,0232074926607311
0,096;0,0455904728733003
0,098;0,0791649431921542
0,1;0,123930903617293
0,102;0,179888354148716
0,104;0,258228784892708
0,106;0,342164960689843
0,108;0,43169688154012
0,11;0,50444156723097
0,112;0,560399017762393
0,114;0,565994762815535
0,116;0,515633057337254
0,118;0,40931390132755
0,12;0,258228784892708
0,122;0,0623777080327272
0,124;-0,127877623774111
0,126;-0,312537210527807
0,128;-0,441239346750081
0,13;-0,519579777494073
0,132;-0,541962757706642
0,134;-0,525175522547215
0,136;-0,469218072015792
0,138;-0,396473386324942
0,14;-0,31813295558095
0,142;-0,250984014943242
0,144;-0,183835074305534
0,146;-0,144664858933538
0,148;-0,0998988985083997
0,15;-0,0719201732426882
0,152;-0,0495371930301189
0,154;-0,0383457029238343
0,156;-0,0271542128175497
0,158;-0,0215584677644074
0,16;-0,0271542128175497
0,162;-0,0383457029238343
0,164;-0,0551329380832613
0,166;-0,0831116633489728
0,168;-0,122281878720969
0,17;-0,183835074305534
0,172;-0,256579759996384
0,174;-0,351707425899804
0,176;-0,469218072015792
0,178;-0,597920208238065
0,18;-0,709835109300911
0,182;-0,782579794991761
0,184;-0,782579794991761
0,186;-0,687452129088342
0,188;-0,502792542334646
0,19;-0,250984014943242
0,192;0,039994727820158
0,194;0,314186235424131
0,196;0,538016037549824
0,198;0,683505408931524
0,2;0,739462859462947
0,202;0,717079879250377
0,204;0,6275479584001
0,206;0,521228802390397
0,208;0,398122411221266
0,21;0,291803255211562
0,212;0,202271334361285
0,214;0,14071813877672
0,216;0,0903564332984388
0,218;0,0511862179264426
0,22;0,0288032377138734
0,222;0,0120160025544465
0,224;0,00082451244816184
0,226;0,00082451244816184
0,228;0,00082451244816184
0,23;0,0120160025544465
0,232;0,0232074926607311
0,234;0,0455904728733003
0,236;0,0735691981390119
0,238;0,129526648670435
0,24;0,191079844255
0,242;0,28620751015842
0,244;0,398122411221266
0,246;0,532420292496681
0,248;0,64993093861267
0,25;0,739462859462947
0,252;0,761845839675516
0,254;0,70029264409095
0,256;0,543611782602966
0,258;0,314186235424131
0,26;0,039994727820158
0,262;-0,228601034730673
0,264;-0,469218072015792
0,266;-0,631494678556919
0,268;-0,715430854354054
0,27;-0,732218089513481
0,272;-0,665069148875773
0,274;-0,575537228025496
0,276;-0,469218072015792
0,278;-0,362898916006088
0,28;-0,267771250102669
0,282;-0,195026564411819
0,284;-0,139069113880396
0,286;-0,0943031534552574
0,288;-0,0607286831364036
0,29;-0,0439414479769766
0,292;-0,0271542128175497
0,294;-0,0159627227112651
0,296;-0,0159627227112651
0,298;-0,0215584677644074
0,3;-0,032749957870692
0,302;-0,0551329380832613
0,304;-0,0775159182958305
0,306;-0,116686133667827
0,308;-0,155856349039823
0,31;-0,228601034730673
0,312;-0,306941465474665
0,314;-0,407664876431227
0,316;-0,502792542334646
0,318;-0,581132973078638
0,32;-0,620303188450634
0,322;-0,60911169834435
0,324;-0,530771267600358
0,326;-0,3908776412718
0,328;-0,195026564411819
0,33;0,0120160025544465
0,332;0,219058569520712
0,334;0,381335176061839
0,336;0,50444156723097
0,338;0,55480327270925
0,34;0,560399017762393
0,342;0,515633057337254
0,344;0,442888371646404
0,346;0,364547940902412
0,348;0,28620751015842
0,35;0,207867079414427
0,352;0,151909628883004
0,354;0,0959521783515811
0,356;0,0679734530858696
0,358;0,039994727820158
0,36;0,0232074926607311
0,362;0,0120160025544465
0,364;0,0120160025544465
0,366;0,0176117476075888
0,368;0,0232074926607311
0,37;0,039994727820158
0,372;0,0567819629795849
0,374;0,0791649431921542
0,376;0,112739413511008
0,378;0,163101118989289
0,38;0,224654314573854
0,382;0,291803255211562
0,384;0,364547940902412
0,386;0,43169688154012
0,388;0,493250077124685
0,39;0,515633057337254
0,392;0,493250077124685
0,394;0,420505391433835
0,396;0,291803255211562
0,398;0,123930903617293
0,4;-0,0607286831364036
0,402;-0,239792524836957
0,404;-0,3908776412718
0,406;-0,491601052228361
0,408;-0,547558502759784
0,41;-0,547558502759784
0,412;-0,508388287387788
0,414;-0,435643601696938
0,416;-0,357303170952946
0,418;-0,267771250102669
0,42;-0,200622309464961
0,422;-0,139069113880396
0,424;-0,0943031534552574
0,426;-0,0607286831364036
0,428;-0,0383457029238343
0,43;-0,0215584677644074
0,432;-0,0159627227112651
0,434;-0,0103669776581228
0,436;-0,00477123260498047
0,438;0,00082451244816184
0,44;-0,00477123260498047
0,442;0,00642025750130415
0,444;0,00082451244816184
0,446;0,00082451244816184
0,448;0,00082451244816184
0,45;0,00082451244816184
0,452;0,00082451244816184
0,454;0,00082451244816184
0,456;0,00082451244816184
0,458;0,00082451244816184
0,46;0,00082451244816184
0,462;0,00082451244816184
0,464;-0,00477123260498047
0,466;-0,00477123260498047
0,468;-0,00477123260498047
0,47;-0,00477123260498047
0,472;-0,0159627227112651
0,474;-0,0215584677644074
0,476;-0,0439414479769766
0,478;-0,0663244281895459
0,48;-0,122281878720969
0,482;-0,183835074305534
0,484;-0,278962740208954
0,486;-0,379686151165515
0,488;-0,497196797281504
0,49;-0,603515953291208
0,492;-0,687452129088342
0,494;-0,709835109300911
0,496;-0,665069148875773
0,498;-0,5363670126535
0,5;-0,346111680846661
0,502;-0,111090388614684
0,504;0,123930903617293
0,506;0,3365692156367
0,508;0,50444156723097
0,51;0,605164978187531
0,512;0,633143703453243
0,514;0,593973488081247
0,516;0,521228802390397
0,518;0,426101136486977
0,52;0,342164960689843
0,522;0,247037294786423
0,524;0,179888354148716
0,526;0,123930903617293
0,528;0,0791649431921542
0,53;0,0455904728733003
0,532;0,0232074926607311
0,534;0,00082451244816184
0,536;-0,00477123260498047
0,538;-0,0159627227112651
0,54;-0,0159627227112651
0,542;-0,0215584677644074
0,544;0,00082451244816184
0,546;0,0232074926607311
0,548;0,0623777080327272
0,55;0,11833515856415
0,552;0,185484099201858
0,554;0,280611765105277
0,556;0,386930921114981
0,558;0,510037312284112
0,56;0,621952213346958
0,562;0,70029264409095
0,564;0,728271369356662
0,566;0,677909663878381
0,568;0,543611782602966
0,57;0,3365692156367
0,572;0,0903564332984388
0,574;-0,161452094092965
0,576;-0,385281896218657
0,578;-0,547558502759784
0,58;-0,648281913716346
0,582;-0,670664893928915
0,584;-0,637090423610061
0,586;-0,558749992866069
0,588;-0,46362232696265
0,59;-0,362898916006088
0,592;-0,278962740208954
0,594;-0,211813799571246
0,596;-0,155856349039823
0,598;-0,105494643561542
0,6;-0,0719201732426882
0,602;-0,0495371930301189
0,604;-0,032749957870692
0,606;-0,0271542128175497
0,608;-0,0159627227112651
0,61;-0,0215584677644074
0,612;-0,032749957870692
0,614;-0,0495371930301189
0,616;-0,0719201732426882
0,618;-0,0943031534552574
0,62;-0,139069113880396
0,622;-0,195026564411819
0,624;-0,273366995155811
0,626;-0,357303170952946
0,628;-0,446835091803223
0,63;-0,5363670126535
0,632;-0,603515953291208
0,634;-0,620303188450634
0,636;-0,592324463184923
0,638;-0,486005307175219
0,64;-0,329324445687234
0,642;-0,127877623774111
0,644;0,0791649431921542
0,646;0,269420274998993
0,648;0,420505391433835
0,65;0,521228802390397
0,652;0,560399017762393
0,654;0,549207527656108
0,656;0,498845822177827
0,658;0,426101136486977
0,66;0,347760705742985
0,662;0,269420274998993
0,664;0,202271334361285
0,666;0,146313883829862
0,668;0,101547923404723
0,67;0,0735691981390119
0,672;0,0455904728733003
0,674;0,0288032377138734
0,676;0,0232074926607311
0,678;0,0120160025544465
0,68;0,0120160025544465
0,682;0,0176117476075888
0,684;0,0288032377138734
0,686;0,0455904728733003
0,688;0,0735691981390119
0,69;0,107143668457866
0,692;0,157505373936146
0,694;0,224654314573854
0,696;0,291803255211562
0,698;0,381335176061839
0,7;0,465271351858974
0,702;0,532420292496681
0,704;0,565994762815535
0,706;0,549207527656108
0,708;0,476462841965258
