Temps;V1
0;0,00829802267253399
0,001;0,00829802267253399
0,002;0,0138227604329586
0,003;0,00829802267253399
0,004;0,0138227604329586
0,005;0,00829802267253399
0,006;0,00829802267253399
0,007;0,0138227604329586
0,008;0,0138227604329586
0,009;0,0138227604329586
0,01;0,00829802267253399
0,011;0,0138227604329586
0,012;0,00829802267253399
0,013;0,00829802267253399
0,014;0,00829802267253399
0,015;0,00829802267253399
0,016;0,00829802267253399
0,017;0,00829802267253399
0,018;0,00829802267253399
0,019;0,00829802267253399
0,02;0,00829802267253399
0,021;0,00829802267253399
0,022;0,00829802267253399
0,023;0,00829802267253399
0,024;0,00829802267253399
0,025;0,00277328491210938
0,026;0,00277328491210938
0,027;-0,00275145284831524
0,028;-0,00275145284831524
0,029;-0,0138009283691645
0,03;-0,0138009283691645
0,031;-0,0248504038900137
0,032;-0,0358998794108629
0,033;-0,0414246171712875
0,034;-0,0524740926921368
0,035;-0,0690483059734106
0,036;-0,0856225192546844
0,037;-0,102196732535958
0,038;-0,124295683577657
0,039;-0,15191937237978
0,04;-0,174018323421478
0,041;-0,201642012223601
0,042;-0,234790438786149
0,043;-0,267938865348697
0,044;-0,312136767432094
0,045;-0,345285193994641
0,046;-0,389483096078038
0,047;-0,422631522640586
0,048;-0,461304686963558
0,049;-0,49997785128653
0,05;-0,538651015609503
0,051;-0,560749966651201
0,052;-0,588373655453324
0,053;-0,604947868734598
0,054;-0,610472606495023
0,055;-0,615997344255447
0,056;-0,604947868734598
0,057;-0,588373655453324
0,058;-0,560749966651201
0,059;-0,516552064567804
0,06;-0,472354162484407
0,061;-0,417106784880161
0,062;-0,350809931755066
0,063;-0,284513078629971
0,064;-0,207166749984026
0,065;-0,124295683577657
0,066;-0,0414246171712875
0,067;0,0359217114746571
0,068;0,118792777881026
0,069;0,196139106526971
0,07;0,273485435172915
0,071;0,339782288298011
0,072;0,400554403662682
0,073;0,455801781266928
0,074;0,499999683350325
0,075;0,533148109912872
0,076;0,560771798714995
0,077;0,577346011996269
0,078;0,582870749756694
0,079;0,582870749756694
0,08;0,571821274235845
0,081;0,555247060954571
0,082;0,533148109912872
0,083;0,505524421110749
0,084;0,472375994548202
0,085;0,439227567985654
0,086;0,406079141423106
0,087;0,367405977100134
0,088;0,334257550537586
0,089;0,295584386214614
0,09;0,267960697412491
0,091;0,234812270849943
0,092;0,20718858204782
0,093;0,179564893245697
0,094;0,157465942203999
0,095;0,1353669911623
0,096;0,118792777881026
0,097;0,0966938268393278
0,098;0,080119613558054
0,099;0,0690701380372047
0,1;0,0580206625163555
0,101;0,0524959247559309
0,102;0,0359217114746571
0,103;0,0359217114746571
0,104;0,0303969737142324
0,105;0,0193474981933832
0,106;0,0138227604329586
0,107;0,00829802267253399
0,108;0,00829802267253399
0,109;0,00277328491210938
0,11;0,00277328491210938
0,111;-0,00827619060873985
0,112;-0,00275145284831524
0,113;-0,00275145284831524
0,114;-0,00827619060873985
0,115;-0,00827619060873985
0,116;-0,00827619060873985
0,117;-0,00827619060873985
0,118;-0,00827619060873985
0,119;-0,00827619060873985
0,12;-0,00275145284831524
0,121;0,00277328491210938
0,122;0,00277328491210938
0,123;0,00829802267253399
0,124;0,0193474981933832
0,125;0,0248722359538078
0,126;0,0359217114746571
0,127;0,0469711869955063
0,128;0,0635454002767801
0,129;0,0745948757976294
0,13;0,0911690890789032
0,131;0,113268040120602
0,132;0,129842253401875
0,133;0,151941204443574
0,134;0,174040155485272
0,135;0,20718858204782
0,136;0,229287533089519
0,137;0,262435959652066
0,138;0,301109123975039
0,139;0,328732812777162
0,14;0,367405977100134
0,141;0,400554403662682
0,142;0,433702830225229
0,143;0,466851256787777
0,144;0,499999683350325
0,145;0,527623372152448
0,146;0,555247060954571
0,147;0,56629653647542
0,148;0,582870749756694
0,149;0,593920225277543
0,15;0,588395487517118
0,151;0,582870749756694
0,152;0,560771798714995
0,153;0,533148109912872
0,154;0,4944749455899
0,155;0,450277043506503
0,156;0,395029665902257
0,157;0,334257550537586
0,158;0,262435959652066
0,159;0,196139106526971
0,16;0,113268040120602
0,161;0,0359217114746571
0,162;-0,0469493549317122
0,163;-0,124295683577657
0,164;-0,201642012223601
0,165;-0,278988340869546
0,166;-0,345285193994641
0,167;-0,400532571598887
0,168;-0,455779949203134
0,169;-0,505502589046955
0,17;-0,538651015609503
0,171;-0,566274704411626
0,172;-0,588373655453324
0,173;-0,593898393213749
0,174;-0,588373655453324
0,175;-0,577324179932475
0,176;-0,566274704411626
0,177;-0,544175753369927
0,178;-0,516552064567804
0,179;-0,483403638005257
0,18;-0,450255211442709
0,181;-0,411582047119737
0,182;-0,378433620557189
0,183;-0,339760456234217
0,184;-0,306612029671669
0,185;-0,273463603109121
0,186;-0,240315176546574
0,187;-0,212691487744451
0,188;-0,185067798942327
0,189;-0,162968847900629
0,19;-0,140869896858931
0,191;-0,118770945817232
0,192;-0,102196732535958
0,193;-0,0911472570151091
0,194;-0,0745730437338352
0,195;-0,063523568212986
0,196;-0,0524740926921368
0,197;-0,0469493549317122
0,198;-0,0358998794108629
0,199;-0,0248504038900137
0,2;-0,0248504038900137
0,201;-0,0193256661295891
0,202;-0,0138009283691645
0,203;-0,00827619060873985
0,204;-0,00275145284831524
0,205;-0,00275145284831524
0,206;-0,00275145284831524
0,207;0,00277328491210938
0,208;-0,00275145284831524
0,209;0,00277328491210938
0,21;0,00277328491210938
0,211;0,00277328491210938
0,212;-0,00275145284831524
0,213;-0,00275145284831524
0,214;-0,00275145284831524
0,215;-0,00827619060873985
0,216;-0,00827619060873985
0,217;-0,0193256661295891
0,218;-0,0193256661295891
0,219;-0,0303751416504383
0,22;-0,0414246171712875
0,221;-0,0524740926921368
0,222;-0,0579988304525614
0,223;-0,0745730437338352
0,224;-0,0856225192546844
0,225;-0,0966719947755337
0,226;-0,118770945817232
0,227;-0,135345159098506
0,228;-0,15191937237978
0,229;-0,179543061181903
0,23;-0,201642012223601
0,231;-0,229265701025724
0,232;-0,262414127588272
0,233;-0,290037816390395
0,234;-0,328710980713367
0,235;-0,361859407275915
0,236;-0,400532571598887
0,237;-0,43920573592186
0,238;-0,472354162484407
0,239;-0,505502589046955
0,24;-0,538651015609503
0,241;-0,566274704411626
0,242;-0,588373655453324
0,243;-0,604947868734598
0,244;-0,610472606495023
0,245;-0,615997344255447
0,246;-0,604947868734598
0,247;-0,588373655453324
0,248;-0,560749966651201
0,249;-0,527601540088654
0,25;-0,477878900244832
0,251;-0,422631522640586
0,252;-0,361859407275915
0,253;-0,29556255415082
0,254;-0,218216225504875
0,255;-0,135345159098506
0,256;-0,0579988304525614
0,257;0,0303969737142324
0,258;0,113268040120602
0,259;0,196139106526971
0,26;0,27901017293334
0,261;0,35083176381886
