Temps;V1
0;-0,0704747140407562
0,002;-0,0594549030065536
0,004;-0,0484350919723511
0,006;-0,0429251864552498
0,008;-0,0374152809381485
0,01;-0,0319053754210472
0,012;-0,0153756588697433
0,014;-0,00435584783554077
0,016;0,0066639631986618
0,018;0,028703585267067
0,02;0,0452333018183708
0,022;0,0727828294038773
0,024;0,105842262506485
0,026;0,138901695609093
0,028;0,182980939745903
0,03;0,232570089399815
0,032;0,287669144570827
0,034;0,34276819974184
0,036;0,386847443878651
0,038;0,42541678249836
0,04;0,447456404566765
0,042;0,447456404566765
0,044;0,430926688015461
0,046;0,397867254912853
0,048;0,370317727327347
0,05;0,331748388707638
0,052;0,309708766639233
0,054;0,287669144570827
0,056;0,282159239053726
0,058;0,287669144570827
0,06;0,304198861122131
0,062;0,320728577673435
0,064;0,34276819974184
0,066;0,353788010776043
0,068;0,364807821810246
0,07;0,353788010776043
0,072;0,331748388707638
0,074;0,309708766639233
0,076;0,282159239053726
0,078;0,243589900434017
0,08;0,216040372848511
0,082;0,182980939745903
0,084;0,155431412160397
0,086;0,133391790091991
0,088;0,111352168023586
0,09;0,0948224514722824
0,092;0,0838026404380798
0,094;0,0727828294038773
0,096;0,0562531128525734
0,098;0,0507432073354721
0,1;0,0397233963012695
0,102;0,0231936797499657
0,104;0,0176837742328644
0,106;0,0066639631986618
0,108;-0,00435584783554077
0,11;-0,0208855643868446
0,112;-0,0374152809381485
0,114;-0,0594549030065536
0,116;-0,0870044305920601
0,118;-0,114553958177567
0,12;-0,153123296797276
0,122;-0,202712446451187
0,124;-0,2578115016222
0,126;-0,312910556793213
0,128;-0,373519517481327
0,13;-0,42861857265234
0,132;-0,461678005754948
0,134;-0,478207722306252
0,136;-0,47269781678915
0,138;-0,445148289203644
0,14;-0,412088856101036
0,142;-0,368009611964226
0,144;-0,329440273344517
0,146;-0,296380840241909
0,148;-0,279851123690605
0,15;-0,279851123690605
0,152;-0,290870934724808
0,154;-0,307400651276112
0,156;-0,323930367827415
0,158;-0,334950178861618
0,16;-0,351479895412922
0,162;-0,351479895412922
0,164;-0,340460084378719
0,166;-0,323930367827415
0,168;-0,290870934724808
0,17;-0,263321407139301
0,172;-0,230261974036694
0,174;-0,197202540934086
0,176;-0,169653013348579
0,178;-0,136593580245972
0,18;-0,120063863694668
0,182;-0,0980242416262627
0,184;-0,0814945250749588
0,186;-0,0649648085236549
0,188;-0,0539449974894524
0,19;-0,0429251864552498
0,192;-0,0319053754210472
0,194;-0,0263954699039459
0,196;-0,0153756588697433
0,198;-0,00435584783554077
0,2;0,00115405768156052
0,202;0,0121738687157631
0,204;0,028703585267067
0,206;0,0397233963012695
0,208;0,0562531128525734
0,21;0,0893125459551811
0,212;0,116862073540688
0,214;0,160941317677498
0,216;0,205020561814308
0,218;0,260119616985321
0,22;0,326238483190536
0,222;0,386847443878651
0,224;0,436436593532562
0,226;0,475005932152271
0,228;0,497045554220676
0,23;0,486025743186474
0,232;0,463986121118069
0,234;0,42541678249836
0,236;0,375827632844448
0,238;0,337258294224739
0,24;0,304198861122131
0,242;0,282159239053726
0,244;0,276649333536625
0,246;0,276649333536625
0,248;0,287669144570827
0,25;0,304198861122131
0,252;0,320728577673435
0,254;0,331748388707638
0,256;0,331748388707638
0,258;0,320728577673435
0,26;0,304198861122131
0,262;0,276649333536625
0,264;0,249099805951118
0,266;0,216040372848511
0,268;0,188490845263004
0,27;0,160941317677498
0,272;0,138901695609093
0,274;0,116862073540688
0,276;0,0948224514722824
0,278;0,0727828294038773
0,28;0,0617630183696747
0,282;0,0507432073354721
0,284;0,0452333018183708
0,286;0,0342134907841682
0,288;0,028703585267067
0,29;0,0176837742328644
0,292;0,0121738687157631
0,294;0,00115405768156052
0,296;-0,00435584783554077
0,298;-0,0153756588697433
0,3;-0,0319053754210472
0,302;-0,0484350919723511
0,304;-0,0759846195578575
0,306;-0,103534147143364
0,308;-0,136593580245972
0,31;-0,180672824382782
0,312;-0,230261974036694
0,314;-0,285361029207706
0,316;-0,334950178861618
0,318;-0,38453932851553
0,32;-0,42861857265234
0,322;-0,450658194720745
0,324;-0,450658194720745
0,326;-0,439638383686543
0,328;-0,406578950583935
0,33;-0,368009611964226
0,332;-0,329440273344517
0,334;-0,307400651276112
0,336;-0,285361029207706
0,338;-0,274341218173504
0,34;-0,279851123690605
0,342;-0,285361029207706
0,344;-0,30189074575901
0,346;-0,318420462310314
0,348;-0,318420462310314
0,35;-0,329440273344517
0,352;-0,318420462310314
0,354;-0,307400651276112
0,356;-0,279851123690605
0,358;-0,252301596105099
0,36;-0,219242163002491
0,362;-0,191692635416985
0,364;-0,158633202314377
0,366;-0,125573769211769
0,368;-0,103534147143364
0,37;-0,0814945250749588
0,372;-0,0649648085236549
0,374;-0,0484350919723511
0,376;-0,0374152809381485
0,378;-0,0263954699039459
0,38;-0,0153756588697433
0,382;-0,00986575335264206
0,384;-0,00435584783554077
0,386;0,00115405768156052
0,388;0,0121738687157631
0,39;0,0231936797499657
0,392;0,0342134907841682
0,394;0,0507432073354721
0,396;0,0617630183696747
0,398;0,0893125459551811
0,4;0,111352168023586
0,402;0,138901695609093
0,404;0,1719611287117
0,406;0,216040372848511
0,408;0,265629522502422
0,41;0,309708766639233
0,412;0,353788010776043
0,414;0,392357349395752
0,416;0,419906876981258
0,418;0,42541678249836
0,42;0,403377160429955
0,422;0,370317727327347
0,424;0,326238483190536
0,426;0,271139428019524
0,428;0,210530467331409
0,43;0,160941317677498
0,432;0,111352168023586
0,434;0,0782927349209785
0,436;0,0452333018183708
0,438;0,0231936797499657
0,44;0,0066639631986618
0,442;-0,00435584783554077
0,444;-0,0153756588697433
0,446;-0,0208855643868446
0,448;-0,0153756588697433
0,45;-0,0208855643868446
0,452;-0,0208855643868446
0,454;-0,0208855643868446
0,456;-0,0208855643868446
0,458;-0,0153756588697433
0,46;-0,00986575335264206
0,462;-0,00986575335264206
0,464;0,00115405768156052
0,466;0,0066639631986618
0,468;0,0231936797499657
0,47;0,0397233963012695
0,472;0,0562531128525734
0,474;0,0782927349209785
0,476;0,111352168023586
0,478;0,144411601126194
0,48;0,177471034228802
0,482;0,216040372848511
0,484;0,25460971146822
0,486;0,282159239053726
0,488;0,304198861122131
0,49;0,320728577673435
0,492;0,320728577673435
0,494;0,309708766639233
0,496;0,29868895560503
0,498;0,276649333536625
0,5;0,249099805951118
0,502;0,221550278365612
0,504;0,194000750780106
0,506;0,166451223194599
0,508;0,144411601126194
0,51;0,122371979057789
0,512;0,100332356989384
0,514;0,0893125459551811
0,516;0,0782927349209785
0,518;0,067272923886776
0,52;0,0562531128525734
0,522;0,0507432073354721
0,524;0,0452333018183708
0,526;0,0342134907841682
0,528;0,028703585267067
0,53;0,0176837742328644
0,532;0,0121738687157631
0,534;-0,00435584783554077
0,536;-0,00986575335264206
