time	V(n002)	V(n005)-V(n001)	I(D2)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.362285449502195e-06	1.247874e-02	-5.168850e-03	-6.022919e-14	-1.946840e-09
1.872457089900439e-05	2.495726e-02	-1.033774e-02	-2.046059e-14	-7.786120e-09
2.808685634850659e-05	3.743556e-02	-1.550667e-02	1.193058e-13	-1.751784e-08
3.744914179800878e-05	4.991365e-02	-2.067565e-02	3.590699e-13	-3.114200e-08
4.681142724751097e-05	6.239152e-02	-2.584467e-02	6.988319e-13	-4.865861e-08
5.617371269701317e-05	7.486917e-02	-3.101373e-02	1.138592e-12	-7.006765e-08
6.553599814651534e-05	8.734661e-02	-3.618283e-02	1.678349e-12	-9.536914e-08
1.310719962930307e-04	1.746645e-01	-7.236604e-02	3.755437e-11	-3.347514e-07
1.819091351478158e-04	2.422693e-01	-1.004476e-01	3.167500e-10	-6.060443e-07
2.222219809370169e-04	2.954630e-01	-1.227817e-01	1.501642e-09	-8.870507e-07
2.484184604457624e-04	3.292349e-01	-1.374244e-01	4.237920e-09	-1.102339e-06
2.675906173545636e-04	3.526054e-01	-1.483297e-01	9.360350e-09	-1.279271e-06
2.867950027552290e-04	3.736987e-01	-1.594878e-01	1.885953e-08	-1.472770e-06
3.050772860143783e-04	3.904540e-01	-1.702574e-01	3.134598e-08	-1.671694e-06
3.287567280738091e-04	4.068158e-01	-1.840549e-01	4.663251e-08	-1.949906e-06
3.679492603630648e-04	4.266867e-01	-2.061829e-01	6.178609e-08	-2.448536e-06
4.116694117425694e-04	4.447470e-01	-2.302427e-01	6.791421e-08	-3.060160e-06
4.626617672539226e-04	4.645933e-01	-2.580670e-01	6.970142e-08	-3.868973e-06
5.471859849607592e-04	4.987455e-01	-3.040873e-01	7.182361e-08	-5.470808e-06
7.162344203744323e-04	5.790653e-01	-3.850109e-01	8.072617e-08	-9.949833e-06
1.054331291201778e-03	7.934698e-01	-4.946189e-01	1.142694e-07	-2.353513e-05
1.367973512704287e-03	1.079518e+00	-5.456243e-01	1.631805e-07	-4.179906e-05
1.598143708624174e-03	1.385887e+00	-5.630040e-01	2.000556e-07	-5.973485e-05
1.896949141025906e-03	1.883937e+00	-5.782549e-01	2.126547e-07	-8.798553e-05
2.125191648728036e-03	2.286860e+00	-5.875378e-01	1.986926e-07	-1.131471e-04
2.441601500315384e-03	2.840184e+00	-6.005070e-01	1.781084e-07	-1.540683e-04
3.000390738826352e-03	3.782419e+00	-6.277103e-01	1.524813e-07	-2.398170e-04
3.976953238826352e-03	5.364838e+00	-6.312232e-01	1.206437e-07	-4.096182e-04
4.099023551326352e-03	5.550498e+00	-6.293354e-01	1.271559e-07	-4.327078e-04
4.343164176326352e-03	5.867562e+00	-6.340423e-01	4.330495e-07	-4.817356e-04
4.636026737236546e-03	6.165071e+00	-6.380849e-01	3.766275e-06	-5.445367e-04
