Temps,EA0,Temps,EA1
0,-2.70663200691342,0,-1.08708356320858
0.000125,-2.69660930335522,0.000125,-1.08708356320858
0.00025,-2.69660930335522,0.00025,-1.08211289905012
0.000375,-2.69159795157611,0.000375,-1.07714223489165
0.0005,-2.69159795157611,0.0005,-1.07714223489165
0.000625,-2.68157524801791,0.000625,-1.06720090657473
0.00075,-2.68157524801791,0.00075,-1.06720090657473
0.000875,-2.6715525444597,0.000875,-1.06223024241626
0.001,-2.6665411926806,0.001,-1.0572595782578
0.001125,-2.66152984090149,0.001125,-1.05228891409934
0.00125,-2.65651848912239,0.00125,-1.04731824994087
0.001375,-2.65150713734329,0.001375,-1.04731824994087
0.0015,-2.64649578556418,0.0015,-1.03737692162395
0.001625,-2.64148443378508,0.001625,-1.03240625746548
0.00175,-2.64148443378508,0.00175,-1.03240625746548
0.001875,-2.63146173022687,0.001875,-1.02743559330702
0.002,-2.63146173022687,0.002,-1.02743559330702
0.002125,-2.62645037844777,0.002125,-1.02246492914855
0.00225,-2.62143902666867,0.00225,-1.01749426499009
0.002375,-2.61642767488956,0.002375,-1.01252360083163
0.0025,-2.60640497133136,0.0025,-1.00755293667316
0.002625,-2.60640497133136,0.002625,-1.00755293667316
0.00275,-2.60139361955225,0.00275,-1.0025822725147
0.002875,-2.59137091599405,0.002875,-0.992640944197774
0.003,-2.58635956421494,0.003,-0.992640944197774
0.003125,-2.58134821243584,0.003125,-0.98767028003931
0.00325,-2.57633686065674,0.00325,-0.977728951722383
0.003375,-2.57633686065674,0.003375,-0.982699615880847
0.0035,-2.56631415709853,0.0035,-0.967787623405457
0.003625,-2.56130280531943,0.003625,-0.967787623405457
0.00375,-2.55128010176122,0.00375,-0.962816959246993
0.003875,-2.55629145354033,0.003875,-0.962816959246993
0.004,-2.54626874998212,0.004,-0.95784629508853
0.004125,-2.54125739820302,0.004125,-0.952875630930066
0.00425,-2.53624604642391,0.00425,-0.952875630930066
0.004375,-2.53624604642391,0.004375,-0.942934302613139
0.0045,-2.5212119910866,0.0045,-0.937963638454676
0.004625,-2.5162006393075,0.004625,-0.932992974296212
0.00475,-2.5212119910866,0.00475,-0.937963638454676
0.004875,-2.5162006393075,0.004875,-0.928022310137749
0.005,-2.5111892875284,0.005,-0.928022310137749
0.005125,-2.50116658397019,0.005125,-0.918080981820822
0.00525,-2.50116658397019,0.00525,-0.918080981820822
0.005375,-2.49114388041198,0.005375,-0.908139653503895
0.0055,-2.48613252863288,0.0055,-0.908139653503895
0.005625,-2.48613252863288,0.005625,-0.903168989345431
0.00575,-2.48112117685378,0.00575,-0.898198325186968
0.005875,-2.47610982507467,0.005875,-0.893227661028504
0.006,-2.46608712151647,0.006,-0.888256996870041
0.006125,-2.46608712151647,0.006125,-0.888256996870041
0.00625,-2.46107576973736,0.00625,-0.883286332711577
0.006375,-2.45606441795826,0.006375,-0.878315668553114
0.0065,-2.45606441795826,0.0065,-0.878315668553114
0.006625,-2.44604171440005,0.006625,-0.87334500439465
0.00675,-2.44103036262095,0.00675,-0.868374340236187
0.006875,-2.43601901084185,0.006875,-0.863403676077724
0.007,-2.42599630728364,0.007,-0.85843301191926
0.007125,-2.42599630728364,0.007125,-0.85843301191926
0.00725,-2.41597360372543,0.00725,-0.848491683602333
0.007375,-2.41597360372543,0.007375,-0.848491683602333
0.0075,-2.41096225194633,0.0075,-0.84352101944387
0.007625,-2.40595090016723,0.007625,-0.838550355285406
0.00775,-2.40093954838812,0.00775,-0.838550355285406
0.007875,-2.39091684482992,0.007875,-0.828609026968479
0.008,-2.38590549305081,0.008,-0.828609026968479
0.008125,-2.39091684482992,0.008125,-0.828609026968479
0.00825,-2.38089414127171,0.00825,-0.823638362810016
0.008375,-2.37588278949261,0.008375,-0.818667698651552
0.0085,-2.3708714377135,0.0085,-0.813697034493089
0.008625,-2.35583738237619,0.008625,-0.798785042017698
0.00875,-2.35583738237619,0.00875,-0.798785042017698
0.008875,-2.35082603059709,0.008875,-0.798785042017698
0.009,-2.35082603059709,0.009,-0.798785042017698
0.009125,-2.34581467881799,0.009125,-0.793814377859235
0.00925,-2.34080332703888,0.00925,-0.788843713700771
0.009375,-2.33579197525978,0.009375,-0.783873049542308
0.0095,-2.33078062348068,0.0095,-0.778902385383844
0.009625,-2.32075791992247,0.009625,-0.773931721225381
0.00975,-2.31574656814337,0.00975,-0.768961057066917
0.009875,-2.31574656814337,0.009875,-0.768961057066917
0.01,-2.31073521636426,0.01,-0.768961057066917
0.010125,-2.30572386458516,0.010125,-0.75901972874999
0.01025,-2.29570116102695,0.01025,-0.749078400433064
0.010375,-2.29068980924785,0.010375,-0.749078400433064
0.0105,-2.29068980924785,0.0105,-0.749078400433064
0.010625,-2.28066710568964,0.010625,-0.739137072116137
0.01075,-2.28066710568964,0.01075,-0.739137072116137
0.010875,-2.28567845746875,0.010875,-0.7441077362746
0.011,-2.27064440213144,0.011,-0.72919574379921
0.011125,-2.26563305035233,0.011125,-0.724225079640746
0.01125,-2.26062169857323,0.01125,-0.719254415482283
0.011375,-2.25561034679413,0.011375,-0.719254415482283
